GENUS_SPECIES,Authority,COMMON.NAME,JP NAME,Pest Type,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,Source
Tinearia alternata,Say,"NA",ãƒ›ã‚·ãƒãƒ§ã‚¦ãƒã‚¨,Sanit,Diptera,"NA",Psychodidae,"NA","NA",Detritivore,Palearctic(Asia),"Yamanaka, 2015"
Hermetia illucens,(Linnaeus),Soldier fly,ã‚¢ãƒ¡ãƒªã‚«ãƒŸã‚ºã‚¢ãƒ–,Sanit,Diptera,"NA",Stratiomyidae,1951,"NA",Fruits: Animal: DryA: Detritivore,Neotropic Nearctic,"Yamanaka, 2015"
Bactrocera dorsalis,(Hendel),oriental fruit fly,ãƒŸã‚«ãƒ³ã‚³ãƒŸãƒã‚¨,Outdoor,Diptera,"NA",Tephritidae,1919,"NA",Fruits,Indomalaya,"Yamanaka, 2015"
Amrasca biguttula,(ISHIDA),"NA",ãƒ•ã‚¿ãƒ†ãƒ³ãƒŸãƒ‰ãƒªãƒ’ãƒ¡ãƒ¨ã‚³ãƒã‚¤,Outdoor,Hemiptera,Auchenorrhyncha,Cicadellidae,2005,"NA",Fruits,Palearctic(Asia) Palearctic(Asia),"Yamanaka, 2015"
Cryptotympana facialis,(Walker),"NA",ã‚¯ãƒžã‚¼ãƒŸ,"NA",Hemiptera,Auchenorrhyncha,Delphacidae,1996,"NA",Root,Palearctic(Asia),"Yamanaka, 2015"
Platypleura kuroiwae,Matsumura,"NA",ã‚¯ãƒ­ã‚¤ãƒ¯ãƒ‹ã‚¤ãƒ‹ã‚¤,"NA",Hemiptera,Auchenorrhyncha,Delphacidae,1996,"NA",Root,Palearctic(Asia) Palearctic(Asia),"Yamanaka, 2015"
Geisha distinctissima,"NA","NA",ã‚¢ã‚ªãƒãƒã‚´ãƒ­ãƒ¢,Outdoor,Hemiptera,Auchenorrhyncha,Flatidae,1994,"NA",Leaf (ãƒŸã‚«ãƒ³ãƒ»ãƒãƒ£ãƒ»ã‚¯ãƒ¯),Palearctic(Asia) Palearctic(Europe) indomalaya,"Yamanaka, 2015"
Orius strigiecollis,"NA","NA",ã‚¿ã‚¤ãƒªã‚¯ãƒ’ãƒ¡ãƒãƒŠã‚«ãƒ¡ãƒ ã‚·,BiolAge,Hemiptera,Prosorrhyncha,Anthocoridae,"NA","NA",Insect,Palearctic (Asia) Indomalaya (Palearctic(Asia),"Yamanaka, 2015"
Leptoglossus australis,"NA","NA",ã‚¢ã‚·ãƒ“ãƒ­ãƒ˜ãƒªã‚«ãƒ¡ãƒ ã‚·,Outdoor: Greenhouse,Hemiptera,Prosorrhyncha,Coreidae,"NA","NA",Leaf: Fruits (ã‚¦ãƒªç§‘é‡Žèœ),Palearctic(Asia) Indomalaya,"Yamanaka, 2015"
Clerada apicicornis,Signoret,"NA",ãƒŸãƒŠãƒŸãƒŠã‚¬ã‚«ãƒ¡ãƒ ã‚·,"NA",Hemiptera,Prosorrhyncha,Lygaeidae,1999,"NA",Insect,Neotropic,"Yamanaka, 2015"
