genus_species,AUTHOR,COMMON.NAME,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,PHAGY,Source,eradicated
Cales noacki,De Santis,"NA",Hymenoptera,"NA",Aphelinidae,1981,I,"NA",Neotropic,"NA","Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Sakin and Ulusoy (2009) The effects of different temperatures and diets on the biology of Cales noacki Howard (Hymenoptera: Aphelinidae) a parasitoid of the citrus woolly whitefly. Turk J Agric For 33: 267-275",NA
Campoplex n.,"NA","NA",Hymenoptera,"NA",Ichneumonidae,1981,"NA","NA","NA","NA","ROBO (http://www.ars-grin.gov/nigrp/robo.html)
Coulson (1988) Releases of Beneficial Organisms in the United States and Territoriesâ€”1981 USDAMisc. Pub. No.1464",NA
Ceratosmicra sp.,-,"NA",Hymenoptera,"NA",Chalcididae,1981,"NA","NA","NA","NA",Nishida(2002),NA
Cerobasis annulata,(Hagen),"NA",Psocoptera,"NA",Trogiidae,1981,"NA","NA","NA","NA",Nishida(2002),NA
Cerobasis guestfalica,(Kolbe),"NA",Psocoptera,"NA",Trogiidae,1981,"NA","NA","NA","NA",Nishida(2002),NA
Coleophora klimeschiella,Toll,The Russian Thistle Casebearer,Lepidoptera,"NA",Coleophoridae,1981,I,"NA",Nearctic Palearctic(Asia),"NA",Lau and Funasaki (1985) Introductions for Biological Control in Hawaii 1981 and 1982. Proc Hawaii Entomol Soc 25(1): 83-86,NA
Cosmopolites sordidus,(Germar),banana root borer:banana weevil borer,Coleoptera,"NA",Rhynchophoridae,1981,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Diaulinopsis callichroma,(Crawford),"NA",Hymenoptera,"NA",Eulophidae,1981,I,"NA",Neotropic,"NA",Lau and Funasaki (1985) Introductions for Biological Control in Hawaii 1981 and 1982. Proc Hawaii Entomol Soc 25(1): 83-86,NA
Drosophila sulfurigaster,(Duda),Pomace fly,Diptera,"NA",Drosophilidae,1981,"NA","NA",Oceania,"NA",Patterson & Wheeler (1942) (as Drosophila spinofemora) University of Texas Publications 4213: 104.  Nishida(2002),NA
Echmepteryx lunulata,Thornton Lee and Chui,"NA",Psocoptera,"NA",Lepidopsocidae,1981,"NA","NA","NA","NA",Nishida(2002),NA
Ectopsocus meridionalis,Ribaga,"NA",Psocoptera,"NA",Peripsocidae,1981,"NA","NA",Palearctic(Europe),"NA",Nishida(2002),NA
Ectopsocus ornatoides,Thornton and Wong,"NA",Psocoptera,"NA",Peripsocidae,1981,"NA","NA","NA","NA",Nishida(2002),NA
Gonolabis electa,Burr,"NA",Dermaptera,"NA",Anisolabididae,1981,"NA","NA",Indomalaya,"NA",Howarth (1981) Proceedings of the Hawaiian Entomological Society 23(3): 315.  Nishida(2002),NA
Lachesilla nubilus,(Aaron),"NA",Psocoptera,"NA",Lachesillidae,1981,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Lachesilla pedicularia,(Linnaeus),"NA",Psocoptera,"NA",Lachesillidae,1981,"NA","NA","NA","NA",Nishida(2002),NA
Lepidopsocus fasciatus,Thornton,"NA",Psocoptera,"NA",Lepidopsocidae,1981,"NA","NA","NA","NA",Nishida(2002),NA
Lepidopsocus maculatus,Thornton Lee and Chui,"NA",Psocoptera,"NA",Lepidopsocidae,1981,"NA","NA","NA","NA",Nishida(2002),NA
Lepinotus reticulatus,Enderlein,reticulate-winged booklouse,Psocoptera,"NA",Trogiidae,1981,"NA","NA",Palearctic(Europe),"NA",Nishida(2002),NA
Leucostoma simplex,(Fallen),"NA",Diptera,"NA",Tachinidae,1981,"NA","NA",Palearctic(Europe),"NA",Nishida(2002),NA
Liposcelis sp2,-,"NA",Psocoptera,"NA",Liposcelidae,1981,"NA","NA","NA","NA",Nishida(2002),NA
Thysanofiorinia leei,Williams,"NA",Hemiptera,"NA",Diaspididae,1981,"NA","NA",Indomalaya Palearctic(Asia),"NA","Nishida(2002)
Takagi et al (1989) Beginning with Diaulacaspis (Homoptera: Coccoidea: Diaspididae): convergence or effect?. Insecta Matsumurana (42): 143-199.",NA
Tramea abdominalis,(Rambur),"NA",Odonata,"NA",Libellulidae,1981,"NA","NA",Nearctic Neotropic,"NA",Nishida(2002),NA
Tramea sp.,-,"NA",Odonata,"NA",Libellulidae,1981,"NA","NA","NA","NA",Nishida(2002),NA
Aeolothrips nasturtii,Jones,"NA",Thysanoptera,"NA",Aeolothripidae,1980,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Aleurodicus dispersus,Russell,spiraling whitefly,Hemiptera,"NA",Aleyrodidae,1980,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Blatta orientalis,Linnaeus,oriental cockroach,Blattaria,"NA",Blattidae,1980,"NA","NA",Afrotropic,"NA",Weber (1948) Proceedings of the Hawaiian Entomological Society 13(2): 206. http://animaldiversity.ummz.umich.edu/accounts/Blatta_orientalis/,NA
Borborillus sordidus,(Zetterstedt),Circular-seamed fly,Diptera,"NA",Sphaeroceridae,1980,"NA","NA",Palearctic(Europe),"NA",Grimshaw (1901) (as Borborus bilineatus) Fauna Hawaiiensis 3(1): 75. Nishida(2002),NA
Brachycyrtus nawaii,(Ashmead),"NA",Hymenoptera,"NA",Ichneumonidae,1980,"NA","NA",Palearctic(Asia) Indomalaya,"NA",Walkly (1956) A Tribal Revision of the Brachycyrtine Wasps of the World (Cryptinae-Ichneumonidae). Proceedings of the United States National Museum 106: 315-329,NA
Chlorichaeta tuberculosa,Becker,"NA",Diptera,"NA",Ephydridae,1980,"NA","NA","NA","NA",Mathis & Zatwarnicki (1993) Tijdschrift voor Entomologie 136(1): 70. Nishida(2002),NA
Coelostoma sp.,-,"NA",Coleoptera,"NA",Hydrophilidae,1980,"NA","NA","NA","NA",Higa (1980) Proceedings of the Hawaiian Entomological Society 23(2): 164.,NA
Coproica vagans,(Haliday),"NA",Diptera,"NA",Sphaeroceridae,1980,"NA","NA",Palearctic(Europe),"NA",Tenorio (1969) (as Leptocera vagans) Proceedings of the Hawaiian Entomological Society 20(1): 172.  Nishida (2002),NA
Copromyza equina,Fallen,"NA",Diptera,"NA",Sphaeroceridae,1980,"NA","NA",Palearctic(Europe),"NA",Wirth (1947) Proceedings of the Hawaiian Entomological Society 13(1): 22.  Nishida (2002),NA
Delphastus pusillus,(LeConte),"NA",Coleoptera,"NA",Coccinellidae,1980,I,"NA",Nearctic Palearctic(Asia),"NA","Lai, Funasaki & Higa (1982) Proceedings of the Hawaiian Entomological Society 24(1): 210. Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Hoelmer (2003) Geographic origin and taxonomic history of Delphastus spp.(Coleoptera: Coccinellidae) in commercial culture. Biocontrol Science and Technology 13: 529-535.",NA
Drosophila suzukii,(Matsumura),cherry drosophila: Spotted wing drosophila,Diptera,"NA",Drosophilidae,1980,"NA","NA",Palearctic(Asia),"NA",Carson (1982) Cooperative National Parks Hawaii Proceedings Conference 4th: 40.  Nishida(2002),NA
Encarsia haitiensis,Dozier,"NA",Hymenoptera,"NA",Aphelinidae,1980,I,"NA",Neotropic,"NA",Kumashiro (1983) Efficacy of Nephaspis amnicola and Encarsia haitiensis in Controlling Aleurodicus dispersus in Hawaii<U+FEFF>. Proc Hawaiian Entomol Soc 24:261-269,NA
Heteropsylla huasachae,Caldwell,"NA",Hemiptera,"NA",Psyllidae,1980,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Heterotoma planicornis,(Pallas),"NA",Hemiptera,"NA",Miridae,1980,"NA","NA","NA","NA",Nishida(2002),NA
Hydrellia tritici,Coquillett,"NA",Diptera,"NA",Ephydridae,1980,"NA","NA",Australasia,"NA",Nakahara (1980) Cooperative Plant Pest Report 5(34): 646.  Nishida (2002).,NA
Melinda pusilla,(Villeneuve),"NA",Diptera,"NA",Calliphoridae,1980,"NA","NA",Indomalaya,"NA",Hardy (1980) Proceedings of the Hawaiian Entomological Society 23(2): 160.  Nishida(2002).,NA
Odontofroggatia galili,Wiebes,The fig wasp,Hymenoptera,"NA",Agaonidae,1980,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Odontomyia ochropa,Thomson,"NA",Diptera,"NA",Stratiomyidae,1980,"NA","NA",Indomalaya,"NA",Hardy (1980) (asOdontomyia regisgeorgii [misidentification]) Proceedings of the Hawaiian Entomological Society 23(2): 160.  Nishida (2002),NA
Oomyzus scaposus,(Thomson),"NA",Hymenoptera,"NA",Eulophidae,1980,"NA","NA",Palearctic(Europe),"NA",Nishida(2002),NA
Opalimosina mirabilis,(Collin),Circular-seamed fly,Diptera,"NA",Sphaeroceridae,1980,"NA","NA",Palearctic(Europe),"NA",Tenorio (1969) (as Leptocera mirabilis) Proceedings of the Hawaiian Entomological Society 20(1): 172.  Nishida (2002),NA
Opius dissitus,Muesebeck,"NA",Hymenoptera,"NA",Braconidae,1980,I,"NA",Palearctic(Europe)  Palearctic(Asia)  Afrotropic,"NA",Nishida(2002),NA
Pseudococcus dendrobiorum,Williams,An Orchid Mealybug,Hemiptera,"NA",Pseudococcidae,1980,"NA","NA",Australasia,"NA",Nishida(2002),NA
Psilochalcis hespenheidei,(Boucek),"NA",Hymenoptera,"NA",Chalcididae,1980,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Pulex simulans,Baker,"NA",Siphonaptera,"NA",Pulicidae,1980,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Pullimosina heteroneura,(Haliday),"NA",Diptera,"NA",Sphaeroceridae,1980,"NA","NA",Palearctic(Europe),"NA",Tenorio (1969) (as Leptocera heteroneura) Proceedings of the Hawaiian Entomological Society 20(1): 172.  Nishida (2002),NA
Rhizoecus caladii,Green,"NA",Hemiptera,"NA",Pseudococcidae,1980,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Rhodesiella elegantula,(Becker),"NA",Diptera,"NA",Chloropidae,1980,"NA","NA",Indomalaya,"NA",Illingworth (1923) Proceedings of the Hawaiian Entomological Society 5(2): 277.  Nishida(2002).,NA
Rhodesiella sauteri,(Duda),"NA",Diptera,"NA",Chloropidae,1980,"NA","NA",Indomalaya,"NA",Hardy (1975) Proceedings of the Hawaiian Entomological Society 22(1): 7.  Nishida(2002).,NA
Rhodesiella scutellata,(Meijere),"NA",Diptera,"NA",Chloropidae,1980,"NA","NA",Indomalaya,"NA",Illingworth (1923) (as Oscinella tarsalis) Proceedings of the Hawaiian Entomological Society 5(2): 277.  Nishida(2002).,NA
Scatella stagnalis,(Fallen),"NA",Diptera,"NA",Ephydridae,1980,"NA","NA",Nearctic,"NA",Tenorio in Hardy (1980) Insects of Hawaii 13: 325-327. Nishida(2002). Scheiring (1977) Geographic variation in Scatella stagnalis (Diptera: Ephydridae). Annals of the Entomological Society of America 70: 511-523.,NA
Stilbus apicalis,(Melsheimer),"NA",Coleoptera,"NA",Phalacridae,1980,"NA","NA",Nearctic,"NA",Higa (1980) Cooperative Plant Pest Report 5: 662.,NA
Telostylinus lineolatus,(Wiedemann),"NA",Diptera,"NA",Neriidae,1980,"NA","NA",Indomalaya,"NA",Hardy & Sugawa (1980) Cooperative Plant Pest Report 5: 646. Nishida(2002). http://cookislands.bishopmuseum.org/species.asp?id=7793,NA
Trachyopella atoma,(Rondani),"NA",Diptera,"NA",Sphaeroceridae,1980,"NA","NA","NA","NA",Tenorio (1969) (as Leptocera atoma) Proceedings of the Hawaiian Entomological Society 20(1): 172.  Nishida (2002),NA
Trachyopella nuda,Rohacek and Marshall,"NA",Diptera,"NA",Sphaeroceridae,1980,"NA","NA",Nearctic,"NA",Tenorio (1969) (as Leptocera brachystoma) Proceedings of the Hawaiian Entomological Society 20(1): 172.  Nishida (2002),NA
Aphytis lepidosaphes,Compere,"NA",Hymenoptera,"NA",Aphelinidae,1979,"NA","NA",Indomalaya Palearctic(Asia),"NA",Nishida(2002),NA
Brevennia rehi,(Lindinger),rice mealybug,Hemiptera,"NA",Pseudococcidae,1979,"NA","NA",Indomalaya Palearctic(Asia),"NA","Nishida(2002)
Miller et al (2005) Introduced scale insects (Hemiptera: Coccidea) of the United States and their impact on U.S. Agriculture. Proceedings of Entomological Society of Washington 107: 123-158
",NA
Cadra sp.,-,"NA",Lepidoptera,"NA",Pyralidae,1979,"NA","NA","NA","NA",Nishida(2002),NA
Caloptilia azaleella,(Brants).,"NA",Lepidoptera,"NA",Gracillariidae,1979,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Cerataphis palmae,(Ghesquiere),Aphid,Hemiptera,"NA",Aphididae,1979,"NA","NA","NA","NA",Nishida(2002),NA
Cryptolestes ferrugineus,(Stephens),rusty grain beetle:rust-red grain beetle,Coleoptera,"NA",Cucujidae,1979,"NA","NA",Palearctic(Asia) Palearctic(Europe),"NA",Loschiavo & Okumura (1979) Proceedings of the Hawaiian Entomological Society 23(1): 98-99.,NA
Encarsia sp2,-,"NA",Hymenoptera,"NA",Aphelinidae,1979,I,"NA","NA","NA","Nishida(2002)
Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
",NA
Heterospilus baeticatus,(Provancher),"NA",Hymenoptera,"NA",Braconidae,1979,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Holoparamecus sp.,-,"NA",Coleoptera,"NA",Endomychidae,1979,"NA","NA","NA","NA",Loschiavo & Okumura (1979) Proceedings of the Hawaiian Entomological Society 23(1): 101.,NA
Isodontia mexicana,(Saussure),"NA",Hymenoptera,"NA",Sphecidae,1979,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Lepidosaphes araucariae,Beardsley,"NA",Hemiptera,"NA",Diaspididae,1979,"NA","NA","NA","NA",Nishida(2002),NA
Microgramme ruficollis,(Marsham),"NA",Coleoptera,"NA",Latridiidae,1979,"NA","NA",Palearctic(Europe),"NA",Loschiavo & Okumura(1979) Proceedings of the Hawaiian Entomological Society 23(1): 102.,NA
Nephaspis bicolor,Gordon,"NA",Coleoptera,"NA",Coccinellidae,1979,I,"NA",Neotropic,"NA","Lai, Funasaki & Higa (1982) Proceedings of the Hawaiian Entomological Society 24(1): 110.  Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Gordon (1982) Two new species of Nephaspis Casey (Coleoptera: Coccinellidae) from Trinidad and Colombia [Nephaspis bicolor Nephaspis namolica taxonomic morphology: Trinidad and Tobago]. Proceedings-Entomological Society of Washington 84",NA
Nephaspis oculatus,(Blatchley),syn (Nephaspis amnicola),Coleoptera,"NA",Coccinellidae,1979,I,"NA",Nearctic Neotropic,"NA",Nakahara (1979) Cooperative Plant Pest Report 4: 825. Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160,NA
Neurisothrips multispinus,(Bagnall),"NA",Thysanoptera,"NA",Thripidae,1979,"NA","NA","NA","NA",Nishida(2002),NA
Nysius n.sp.,White,"NA",Hemiptera,"NA",Lygaeidae,1979,"NA","NA","NA","NA",Nishida(2002),NA
Oinophila v-flavum,(Haworth),"NA",Lepidoptera,"NA",Tineidae,1979,"NA","NA",Palearctic(Europe),"NA",Nishida(2002),NA
Onitis vanderkelleni,Landsberge,"NA",Coleoptera,"NA",Scarabaeidae,1979,I,"NA","NA","NA","Nakao & Funasaki (1979) Proceedings of the Hawaiian Entomological Society 23(1): 176. Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
http://en.wikipedia.org/wiki/Australian_Dung_Beetle_Project",NA
Paraleyrodes naranjae,Dozier,"NA",Hemiptera,"NA",Aleyrodidae,1979,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Parlatoria fluggeae,Hall,"NA",Hemiptera,"NA",Diaspididae,1979,"NA","NA","NA","NA",Nishida(2002),NA
Prodrasterius collaris,(Candeze),"NA",Coleoptera,"NA",Elateridae,1979,"NA","NA",Indomalaya,"NA","Beardsley (1979) Proceedings of the Hawaiian Entomological Society 23(1): 29.
http://www.sdstate.edu/ps/Severin-McDaniel/project-elater/hawaii/checklist-of-species.cfm",NA
Rhantus gutticollis,(Say),"NA",Coleoptera,"NA",Dytiscidae,1979,"NA","NA",Nearctic,"NA",Beardsley (1979) Cooperative Plant Pest Report 4: 64.,NA
Stephanitis pyrioides,(Scott),Polynema :  azalea lace bug: Andromeda Lace Bug,Hemiptera,"NA",Tingidae,1979,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Tropisternus salsamentus,Fall,"NA",Coleoptera,"NA",Hydrophilidae,1979,"NA","NA",Nearctic,"NA",Beardsley (1979) Cooperative Plant Pest Report 4: 9.,NA
Uloma bonzica,Marseul,"NA",Coleoptera,"NA",Tenebrionidae,1979,"NA","NA",Palearctic(Asia),"NA",Beardsley (1979) (as Uloma possibly bonzica) Cooperative Plant Pest Report 4: 66. Nishida(2002),NA
Allothrips brasilianus,Hood,"NA",Thysanoptera,"NA",Phlaeothripidae,1978,"NA","NA","NA","NA",Nishida(2002),NA
Asymphorodes triaula,(Meyrick),"NA",Lepidoptera,"NA",Cosmopterigidae,1978,"NA","NA","NA","NA",Nishida(2002),NA
Balclutha rubrostriata,(Melichar),Bagrada Bug,Hemiptera,"NA",Deltocephalidae,1978,"NA","NA","NA","NA",Nishida(2002),NA
Brephidium exilis,(Boisduval),"NA",Lepidoptera,"NA",Lycaenidae,1978,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Chortinaspis subchortina,(Laing),"NA",Hemiptera,"NA",Diaspididae,1978,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Crenidorsum sp.,-,"NA",Hemiptera,"NA",Aleyrodidae,1978,"NA","NA","NA","NA",Nishida(2002),NA
Delta curvatum,(Saussure),"NA",Hymenoptera,"NA",Eumenidae,1978,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Gallobelgicus saevus,Bergroth,"NA",Hemiptera,"NA",Reduviidae,1978,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Gyponana germari,(Stal),"NA",Hemiptera,"NA",Cicadellidae,1978,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Hemerobius pacificus,Banks,"NA",Neuroptera,"NA",Hemerobiidae,1978,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Heteropsylla mimosae,Crawford,"NA",Hemiptera,"NA",Psyllidae,1978,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Ichneumon cupitus,Cresson,"NA",Hymenoptera,"NA",Ichneumonidae,1978,"NA","NA",Nearctic,"NA",Beardsley (2000) New Distribution Records for Non-Endemic Hymenoptera (Insecta) in Hawaii. Bishop Museum Occasional Papers 63: 21â€“30,NA
Kurodaia flammei,Price and Beer,"NA",Mallophaga,"NA",Menoponidae,1978,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Leptogryllus sp.,-,"NA",Orthoptera,"NA",Gryllidae,1978,"NA","NA","NA","NA",Nishida(2002),NA
Lyctocoris campestris,(Fabricius),"NA",Hemiptera,"NA",Anthocoridae,1978,"NA","NA",Palearctic(Europe),"NA",Nishida(2002),NA
Macroglossum pyrrhostictum,(Butler),"NA",Lepidoptera,"NA",Sphingidae,1978,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Meristhus sp.,-,"NA",Coleoptera,"NA",Elateridae,1978,"NA","NA","NA","NA",Beardsley (1978) Proceedings of the Hawaiian Entomological Society 22(3): 390.,NA
Micranisa yashiroi,(Ishii),"NA",Hymenoptera,"NA",Agaonidae,1978,"NA","NA",Okinawa Indomalaya,"NA",Nishida(2002),NA
Mimosestes insularis,Kingsolver and Johnson,"NA",Coleoptera,"NA",Chrysomelidae,1978,"NA","NA",Neotropic,"NA",Kingsolver & Johnson (1978) U. S. Department of Agriculture Technical Bulletin 1590: 35.,NA
Nesothrips brevicollis,(Bagnall),green stink bug,Thysanoptera,"NA",Phlaeothripidae,1978,"NA","NA",Okinawa Indomalaya,"NA",Nishida(2002),NA
Niditinea fuscella,(Linnaeus),"NA",Lepidoptera,"NA",Tineidae,1978,"NA","NA","NA","NA",Nishida(2002),NA
Paratrigonidium sp.,-,"NA",Orthoptera,"NA",Trigonidiidae,1978,"NA","NA","NA","NA",Nishida(2002),NA
Platystethus americanus,Erichson,"NA",Coleoptera,"NA",Staphylinidae,1978,"NA","NA",Nearctic,"NA",Moore (1978) Proceedings of the Hawaiian Entomological Society 22(3): 489. Nishida(2002),NA
Stenolophus quinquepustulatus,(Wiedemann),"NA",Coleoptera,"NA",Carabidae,1978,"NA","NA",Indomalaya Palearctic(Asia),"NA",Beardsley (1978) Cooperative Plant Pest Report 3: 8. Beardsley (1981) Stenolophus (Egadroma) quinquepustulatus (Wiedemann). Proceedings of the Hawaiian Entomological Society 23:312.,NA
Tegeticula sp.,-,"NA",Lepidoptera,"NA",Prodoxidae,1978,"NA","NA","NA","NA",Nishida(2002),NA
Trigonotylus tenuis,(Reuter),"NA",Hemiptera,"NA",Miridae,1978,"NA","NA","NA","NA",Nishida(2002),NA
Wahlgreniella nervata,(Gillette),"NA",Hemiptera,"NA",Aphididae,1978,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Zaprionus ghesquierei,"NA",Pomace fly,Diptera,"NA",Drosophilidae,1978,"NA","NA","NA","NA",Leblanc et al. (2009),NA
Agraulis vanillae,(Linnaeus),"NA",Lepidoptera,"NA",Nymphalidae,1977,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Antrocephalus apicalis,(Walker),"NA",Hymenoptera,"NA",Chalcididae,1977,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Appolonius sp.,-,"NA",Hemiptera,"NA",Lygaeidae,1977,"NA","NA","NA","NA",Nishida(2002),NA
Calliephialtes grapholithae,(Cresson),"NA",Hymenoptera,"NA",Ichneumonidae,1977,"NA","NA","NA","NA",Nishida(2002),NA
Cheiloneurus sp.,-,"NA",Hymenoptera,"NA",Encyrtidae,1977,"NA","NA","NA","NA",Nishida(2002),NA
Cheiloneurus sp2,-,"NA",Hymenoptera,"NA",Encyrtidae,1977,"NA","NA","NA","NA",Nishida(2002),NA
Coccotrypes cyperi,(Beeson),ambrosia beetle,Coleoptera,"NA",Curculionidae,1977,"NA","NA",Indomalaya,"NA",Wood (1977) (as Coccotrypes indicus) Great Basin Naturalist 37(1): 69.,NA
Coccotrypes distinctus,(Motschulsky),"NA",Coleoptera,"NA",Curculionidae,1977,"NA","NA",Palearctic(Asia) Indomalaya,"NA",Wood (1977) Great Basin Naturalist 37(1): 69.,NA
Condica dolorosa,(Walker),"NA",Lepidoptera,"NA",Noctuidae,1977,"NA","NA",Indomalaya Australasia,"NA",Nishida(2002),NA
Discestra trifolii,(Hufnagel),"NA",Lepidoptera,"NA",Noctuidae,1977,"NA","NA","NA","NA",Nishida(2002),NA
Euacidalia brownsvillea,Cassino,"NA",Lepidoptera,"NA",Geometridae,1977,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Euwallacea interjectus,(Blandford),Scolytid Borer,Coleoptera,"NA",Curculionidae,1977,"NA","NA",Palearctic(Asia),"NA",Samuelson (1977) (as Xyleborus interjectus) Cooperative Economic Insect Report 2: 222.,NA
Fletcherana sp.,-,"NA",Lepidoptera,"NA",Geometridae,1977,"NA","NA","NA","NA",Nishida(2002),NA
Fornax samoensis,Fleutiaux,"NA",Coleoptera,"NA",Eucnemidae,1977,"NA","NA",Oceania,"NA",Beardsley (1977) Cooperative Plant Pest Report 2: 105.,NA
Gelis albipalpus,[sp.nr.](Thomson),"NA",Hymenoptera,"NA",Ichneumonidae,1977,"NA","NA","NA","NA",Nishida(2002),NA
Homalotylus sp1,-,"NA",Hymenoptera,"NA",Encyrtidae,1977,"NA","NA","NA","NA",Nishida(2002),NA
Homalotylus sp2,-,"NA",Hymenoptera,"NA",Encyrtidae,1977,"NA","NA","NA","NA",Nishida(2002),NA
Hypothenemus parallelus,(Hopkins),"NA",Coleoptera,"NA",Curculionidae,1977,"NA","NA",Neotropic,"NA",Wood (1977) Great Basin Naturalist 37(1): 71.,NA
Ischnura ramburii,(Selys-Longchamps),"NA",Odonata,"NA",Coenagrionidae,1977,"NA","NA","NA","NA",Nishida(2002),NA
Leptynoptera sulfurea,Crawford,"NA",Hemiptera,"NA",Psyllidae,1977,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Leucania insecuta,(Walker),"NA",Lepidoptera,"NA",Noctuidae,1977,"NA","NA","NA","NA",Nishida(2002),NA
Metaphycus sp.,-,"NA",Hymenoptera,"NA",Encyrtidae,1977,"NA","NA","NA","NA",Nishida(2002),NA
Meteorus sp.,-,"NA",Hymenoptera,"NA",Braconidae,1977,"NA","NA","NA","NA",Nishida(2002),NA
Ochetellus glaber,(Mayr),"NA",Hymenoptera,"NA",Formicidae,1977,"NA","NA",Australasia,"NA",Nishida(2002),NA
Orthemis ferruginea,(Fabricius),"NA",Odonata,"NA",Libellulidae,1977,"NA","NA","NA","NA",Nishida(2002),NA
Pandesma anysa,Guenee,"NA",Lepidoptera,"NA",Noctuidae,1977,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Plagiomerus sp.,-,"NA",Hymenoptera,"NA",Encyrtidae,1977,"NA","NA","NA","NA",Nishida(2002),NA
Pseudaphycus sp.,-,"NA",Hymenoptera,"NA",Encyrtidae,1977,"NA","NA","NA","NA",Nishida(2002),NA
Sterrha sp.,-,"NA",Lepidoptera,"NA",Geometridae,1977,"NA","NA","NA","NA",Nishida(2002),NA
Sycophila sp.A,-,"NA",Hymenoptera,"NA",Eurytomidae,1977,"NA","NA","NA","NA",Nishida(2002),NA
Xyleborus volvulus,(Fabricius),"NA",Coleoptera,"NA",Curculionidae,1977,"NA","NA",Cosmopolitan,"NA",Wood (1977) Great Basin Naturalist 37(1): 73.,NA
Zaomma microphagus,(Mayr),"NA",Hymenoptera,"NA",Encyrtidae,1977,"NA","NA","NA","NA",Nishida(2002),NA
Zeteticontus utilis,Noyes,"NA",Hymenoptera,"NA",Encyrtidae,1977,I,"NA",Afrotropic Palearctic(Europe),"NA","Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Blumberg et al. (1984) Biological studies of Zeteticontus utilis (Hymenoptera: Encyrtidae) a parasite of Carpophilus spp.(Coleoptera: Nitidulidae). Annals of the Entomological Society of America 77 : 130-133.",NA
Anotylus vinsoni,(Cameron),"NA",Coleoptera,"NA",Staphylinidae,1976,"NA","NA","NA","NA",Hammond (1976) Bulletin British Museum of Natural History 33: 177. Nishida(2002),NA
Apanteles gelechiidivorus,(Marsh),"NA",Hymenoptera,"NA",Braconidae,1976,"NA","NA",Nearctic,"NA",Nakao and Funasaki (1979) Introductions for biological control in Hawaii: 1975 and 1976. Proceedings of Hawaii Entomological Society 13: 125-128,NA
Asterolecanium pseudomiliaris,Green,"NA",Hemiptera,"NA",Asterolecaniidae,1976,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Chrysocharis clarkae,Yoshimoto,"NA",Hymenoptera,"NA",Eulophidae,1976,I,"NA",Neotropic,"NA",Nakao and Funasaki (1979) Introductions for biological control in Hawaii: 1975 and 1976. Proceedings of Hawaii Entomological Society 13: 125-128,NA
Chrysocharis giraulti,Yoshimoto,"NA",Hymenoptera,"NA",Eulophidae,1976,I,"NA",Nearctic,"NA","Nakao and Funasaki (1979) Introductions for biological control in Hawaii: 1975 and 1976. Proceedings of Hawaii Entomological Society 13: 125-128
Soroka and Otani (2011) Arthropods of Legume Forage Crops.",NA
