species,year,genus_species,source,Order,Family,Genus,Mode of introduction,Establishment indoors/outdoors,Eradicated after the initial establishment
Cyrtoneuropsis rescita (Walker),1996,Cyrtoneuropsis rescita,"Causton, 2006",NA,NA,NA,NA,NA,NA
Hydrotaea aenescens (Wiedemann),1835,Hydrotaea aenescens,"Causton, 2006",NA,NA,NA,NA,NA,NA
Musca domestica L.,1925,Musca domestica,"Causton, 2006",NA,NA,NA,NA,NA,NA
Philornis downsi Dodge & Aitken,1964,Philornis downsi,"Causton, 2006",NA,NA,NA,NA,NA,NA
Stomoxys calcitrans (L.),1925,Stomoxys calcitrans,"Causton, 2006",NA,NA,NA,NA,NA,NA
Synthesiomyia nudiseta (Wulp),1899,Synthesiomyia nudiseta,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pieza sinclairi Evenhuis,1985,Pieza sinclairi,"Causton, 2006",NA,NA,NA,NA,NA,NA
Nerius sp7,2003,Nerius sp7,"Causton, 2006",NA,NA,NA,NA,NA,NA
Chonocephalus heymonsi Strobbe,1985,Chonocephalus heymonsi,"Causton, 2006",NA,NA,NA,NA,NA,NA
Dohrnophora cornuta Bigot,1925,Dohrnophora cornuta,"Causton, 2006",NA,NA,NA,NA,NA,NA
Megascelia scalaris (Loew),1923,Megascelia scalaris,"Causton, 2006",NA,NA,NA,NA,NA,NA
Puliciphora borinquenensis Wheeler,1985,Puliciphora borinquenensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Piophila casei (L.),1835,Piophila casei,"Causton, 2006",NA,NA,NA,NA,NA,NA
Clogmia albipunctata (Williston),1985,Clogmia albipunctata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Psychoda alabangensis del Rosario,1985,Psychoda alabangensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Psychoda savaiiensis Edwards,1985,Psychoda savaiiensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Blaesoxipha plinthopyga (Wiedemann),1905,Blaesoxipha plinthopyga,"Causton, 2006",NA,NA,NA,NA,NA,NA
Oxysarcodexia bakeri (Aldrich),1989,Oxysarcodexia bakeri,"Causton, 2006",NA,NA,NA,NA,NA,NA
Oxysarcodexia taitensis (Schiner),1899,Oxysarcodexia taitensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Peckia chrysostoma (Wiedemann),1935,Peckia chrysostoma,"Causton, 2006",NA,NA,NA,NA,NA,NA
Sarcodexia lambens (Wiedemann),1978,Sarcodexia lambens,"Causton, 2006",NA,NA,NA,NA,NA,NA
Tricharaea canuta (Wulp)1,1925,Tricharaea canuta,"Causton, 2006",NA,NA,NA,NA,NA,NA
Holoplagia guamensis (Johannsen),1985,Holoplagia guamensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Bradysia ocellaris Comstock,1992,Bradysia ocellaris,"Causton, 2006",NA,NA,NA,NA,NA,NA
Bradysia radicum Brunetti,1992,Bradysia radicum,"Causton, 2006",NA,NA,NA,NA,NA,NA
Epidapus perniciosus Edwards,NA,Epidapus perniciosus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Eugnoriste planiforceps Steffan,1992,Eugnoriste planiforceps,"Causton, 2006",NA,NA,NA,NA,NA,NA
Palaeosepsis armillata (Melander & Spuler),1992,Palaeosepsis armillata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Simulium bipunctatum Malloch,1989,Simulium bipunctatum,"Causton, 2006",NA,NA,NA,NA,NA,NA
Coprioca hirtula (Rondani),1964,Coprioca hirtula,"Causton, 2006",NA,NA,NA,NA,NA,NA
Spelobia bifrons (Stenhammer),1989,Spelobia bifrons,"Causton, 2006",NA,NA,NA,NA,NA,NA
Trachyopella atomus (Rondani),1989,Trachyopella atomus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Hermetia illucens (L.),1998,Hermetia illucens,"Causton, 2006",NA,NA,NA,NA,NA,NA
Ornidia obesa (F.),1989,Ornidia obesa,"Causton, 2006",NA,NA,NA,NA,NA,NA
Anastrepha fraterculus (Wiedemann),1979,Anastrepha fraterculus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Acrosticta apicalis (Williston),1925,Acrosticta apicalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Euxesta eluta Loew,2001,Euxesta eluta,"Causton, 2006",NA,NA,NA,NA,NA,NA
Euxesta stigmatias Loew,1989,Euxesta stigmatias,"Causton, 2006",NA,NA,NA,NA,NA,NA
Notogramma cimiciforme Loew,1989,Notogramma cimiciforme,"Causton, 2006",NA,NA,NA,NA,NA,NA
Oligotoma saundersii (Westwood),1991,Oligotoma saundersii,"Causton, 2006",NA,NA,NA,NA,NA,NA
Agallia pecki Freytag,1989,Agallia pecki,"Causton, 2006",NA,NA,NA,NA,NA,NA
Agallia sp1,2001,Agallia sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
