order,family,genus,species,genus.species,original.species.name,name.changed...1.yes..0..no.,tsn,rank,year,super.family,town,NZ.region,nz.area.code,origin,ecozone,current.distribution.cosmopolitan.,phagy,phagy.main,feeding.type,feeding.main,size.mm.,comment,eradicated,Intentional_Release,source,vagrant
Hemiptera,Aphididae,Rhopalosiphum,padi,Rhopalosiphum padi,Rhopalosiphum padi,0,200663,Species,1921,Aphidoidea,Aramaho,Manawatu-Wanganui,WI,NA,NA,NA,NA,NA,herbivore,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Aphididae,Rhopalosiphum,rufiabdominale,Rhopalosiphum rufiabdominale,Rhopalosiphum rufiabdominale,0,NA,Species,1959,Aphidoidea,Auckland,Auckland,AK,NA,NA,NA,NA,NA,herbivore,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Encyrtidae,Rhopus,garibaldia,Rhopus garibaldia,Rhopus garibaldia,0,NA,Species,1957,NA,Waikohu,Gisborne,GB,Australia,Australasia,No,f-oligophagous,Oligophagous,parasitoid,Parasitoid,0.5,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Ichneumonidae,Rhyssa,lineolata,Rhyssa lineolata,Rhyssa lineolata,0,NA,Species,1958,NA,Hawkes Bay,Hawke's Bay,HB,?,Nearctic,No,monophagous,Monophagous,parasitoid,Parasitoid,25,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Cicadellidae,Rhytidodus,decimaquartus,Rhytidodus decimaquartus,Rhytidodus decimaquartus,0,NA,Species,1964,Membracoidea,Christchurch,Canterbury,MC,N. America & Europe,Holarctic,Yes,oligophagous,Oligophagous,herbivore,Herbivore,5.5,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Formicidae,Rhytidoponera,chalybaea,Rhytidoponera chalybaea,Rhytidoponera chalybaea,0,584080,Species,1959,NA,Napier,Hawke's Bay,HB,Australia,Australasia,No,polyphagous,Polyphagous,predator,Predator,7,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Formicidae,Rhytidoponera,metallica,Rhytidoponera metallica,Rhytidoponera metallica,0,584123,Species,1958,NA,Auckland,Auckland,AK,Australia,Australasia,No,polyphagous,Polyphagous,predator,Predator,6,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Carabidae,Rhytisternus,liopleurus,Rhytisternus liopleurus,Rhytisternus liopleurus,0,NA,Species,1957,NA,Hokianga,Northland,ND,Australia,Australasia,No,NA,NA,predator,Predator,14,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Carabidae,Rhytisternus,miser,Rhytisternus miser,Rhytisternus miser,0,NA,Species,1908,NA,Auckland,Auckland,AK,Australia,Australasia,No,NA,NA,predator,Predator,14,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Coccinellidae,Rhyzobius,forestieri,Rhyzobius forestieri,Rhyzobius forestieri,0,186976,Species,1884,Cucujoidea,Picton,Marlborough,SD,Australia,Australasia,Yes,oligophagous,Oligophagous,predator,Predator,3.1,NA,NA,Yes,"Edney-Browne, 2018",NA
Coleoptera,Coccinellidae,Rhyzobius,lophanthae,Rhyzobius lophanthae,Rhyzobius lopanthae,1,186977,Species,2014,Cucujoidea,Auckland,Auckland,AK,Australia,Australasia,Yes,oligophagous,Oligophagous,predator,Predator,3,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Coccinellidae,Rhyzobius,ventralis,Rhyzobius ventralis,Rhyzobius ventralis,0,114362,Species,1898,Cucujoidea,Auckland,Auckland,AK,Tasmania,Australasia,No,oligophagous,Oligophagous,predator,Predator,4.5,NA,NA,Yes,"Edney-Browne, 2018",NA
