GENUS_SPECIES,Authority,COMMON.NAME,JP NAME,Pest Type,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,Source
Rodolia cardinalis,(Mulsant),Australian lady beetle,ベダリアテントウ,BiolAge,Coleoptera,NA,Coccinellidae,1911,I,Insect,Palearctic(Asia) Australasia,"Yamanaka, 2015"
Cryptolestes ferrugineus,(Stephens),rusty grain beetle:rust-red grain beetle,サビカクムネチビヒラタムシ,Stored,Coleoptera,NA,Cucujidae,NA,NA,Seeds,Palearctic(Asia) Palearctic(Europe),"Yamanaka, 2015"
Cryptolestes pusilloides,NA,NA,ハウカクムネヒラタムシ,Stored,Coleoptera,NA,Cucujidae,NA,NA,Seeds: Fungus (シイタケ),Pantropic,"Yamanaka, 2015"
Cryptolestes pusillus,(Schönherr),flat grain beetle,カクムネチビヒラタムシ,Stored,Coleoptera,NA,Cucujidae,NA,NA,Seeds,Oceania,"Yamanaka, 2015"
Amorphoidea lata,NA,NA,ワタデオゾウムシ,Outdoor,Coleoptera,NA,Curculionidae,1988,NA,Leaf (綿花),Indomalaya,"Yamanaka, 2015"
Euscepes postfasciatus,(Fairmaire),Sweet potato weevil :  West Indian sweetpotato weevil,イモゾウムシ,Outdoor,Coleoptera,NA,Curculionidae,1947,NA,Root (根菜類),Neotropic,"Yamanaka, 2015"
Euwallacea fornicatus,(Eichhoff）,ambrosia beetle,ナンヨウキクイムシ,Outdoor: Wood,Coleoptera,NA,Curculionidae,NA,NA,Fungus (チャ・マンゴーの衰弱木),Palearctic(Asia) Indomalaya,"Yamanaka, 2015"
Hypera postica,(Gyllenhal),alfalfa weevil,アルファルファタコゾウムシ,Outdoor,Coleoptera,NA,Curculionidae,1982,NA,Leaf,Palearctic(Asia) Palearctic(Europe),"Yamanaka, 2015"
Lissorhoptrus oryzophilus,Kuschel,NA,イネミズゾウムシ,Outdoor,Coleoptera,NA,Curculionidae,1985,NA,Leaf,Palearctic(Asia) Nearctic,"Yamanaka, 2015"
Listroderes costirostris,Schoenherr,Vegetable weevil: syn (Listroderes difficilis),ヤサイゾウムシ,Outdoor,Coleoptera,NA,Curculionidae,1960,NA,Leaf,Palearctic(Asia) Neotropic,"Yamanaka, 2015"
Orchidophilus aterrimus,NA,Orchid weevil :  NA,オオランヒメゾウムシ,Greenhouse,Coleoptera,NA,Curculionidae,2006,NA,Leaf (ラン),Palearctic(Asia) Indomalaya,"Yamanaka, 2015"
Sitona cylindricollis,Fahreus,flavescent clover weevil,ナガチビコフキゾウムシ,Outdoor,Coleoptera,NA,Curculionidae,1961,NA,Leaf (マメ科牧草),Nearctic Palearctic(Europe),"Yamanaka, 2015"
