genus_species,AUTHORITY,ORDER,FAMILY,Year,Origin,notes,COMMON NAME/S,Intentional_Release,source
Euceraphis betulae,(Koch),Hemiptera,Aphididae,1960,Europe,NA,NA,NA,"Nahrung, 2020"
Euceraphis punctipennis,Zetterstedt,Hemiptera,Aphididae,1954,Europe,NA,NA,NA,"Nahrung, 2020"
Eudocima fullonia,Clerck,Lepidoptera,Noctuidae,1905,NA,?native,NA,NA,TBA
Eudocima jordani,(Holland),Lepidoptera,Noctuidae,NA,NA,?native,NA,NA,TBA
Eudocima salaminia,(Cramer),Lepidoptera,Noctuidae,1892,NA,?native,NA,NA,TBA
Eulachnus thunbergii,Wilson,Hemiptera,Aphididae,1959,Asia,NA,NA,NA,"Nahrung, 2020"
Parthenolecanium pruinosum,(Coquillett),Hemiptera,Coccidae,1932,NA,1932,NA,NA,TBA
Eulecanium tiliae,Linnaeus,Hemiptera,Coccidae,1961,NA,NA,NA,NA,TBA
Euplatypus parallelus,(Fabricius),Coleoptera,Curculionidae,1893,S.America,NA,NA,NA,"Nahrung, 2020"
Eurymetopus birabeni,Kuschel,Coleoptera,Curculionidae,1962,NA,NA,NA,NA,TBA
Euwallacea similis,(Ferrari),Coleoptera,Curculionidae,1933,NA,NA,NA,NA,TBA
Ferrisia malvastra,(McDaniel),Hemiptera,Pseudococcidae,1932,NA,NA,NA,NA,TBA
Ferrisia virgata,Cockerell,Hemiptera,Pseudococcidae,1933,NA,NA,NA,NA,TBA
Fieberiella florii,(Stal),Hemiptera,Cicadellidae,1992,NA,NA,NA,NA,TBA
Fiorinia fioriniae,(Targioni Tozzetti),Hemiptera,Diaspididae,1896,NA,NA,NA,NA,TBA
Fiorinia japonica,Kuwana,Hemiptera,Diaspididae,1915,Asia,NA,NA,NA,"Nahrung, 2020"
Forficula auricularia,Linnaeus,Dermaptera,Forficulidae,1958,NA,NA,NA,NA,TBA
Furcaspis biformis,(Cockerell),Hemiptera,Diaspididae,1984,NA,NA,NA,NA,TBA
Galleria mellonella,Linnaeus,Lepidoptera,Pyralidae,1923,NA,NA,NA,NA,TBA
Genaparlatoria pseudaspidiotus,(Lindinger),Hemiptera,Diaspididae,1954,NA,NA,NA,NA,TBA
Geoica lucifuga,Zehntner,Hemiptera,Aphididae,1924,NA,NA,NA,NA,TBA
Gibbium aequinoctiale,"Boieldieu, 1854",Coleoptera,Anobiidae,1902,NA,NA,NA,NA,TBA
Gibbium psylloides,"(Czempinski, 1778)",Coleoptera,Anobiidae,1953,NA,NA,NA,NA,TBA
Gnathocerus maxillosis,(Fabricius),Coleoptera,Tenebrionidae,NA,NA,NA,NA,NA,TBA
Gnatocerus cornutus,(Fabricius),Coleoptera,Tenebrionidae,1905,NA,NA,NA,NA,TBA
Gracilia minuta,Fabricius,Coleoptera,Cerambycidae,1963,NA,NA,NA,NA,TBA
Grammodes stolida,Fabricius,Lepidoptera,Noctuidae,NA,NA,?native,NA,NA,TBA
Grapholita molesta,"(Busck, 1916)",Lepidoptera,Tortricidae,1936,NA,NA,NA,NA,TBA
Graptostethus servus,(Fabricius),Hemiptera,Lygaeidae,1899,NA,NA,NA,NA,TBA
Greenidea ficicola,Takahaski,Hemiptera,Aphididae,1921,NA,NA,NA,NA,TBA
Gryllodes sigillatus,Walker,Orthoptera,Gryllidae,1969,NA,NA,NA,NA,TBA
Gryllotalpa africana,(Palisot de Beauvois),Orthoptera,Gryllotalpidae,1953,NA,NA,NA,NA,TBA
Gymnaspis aechmeae,Newstead,Hemiptera,Diaspididae,1981,NA,NA,NA,NA,TBA
Halticus chrysolepis,Kirkaldy,Hemiptera,Miridae,1964,NA,NA,NA,NA,TBA
Helicoverpa armigera,HÃ¼bner,Lepidoptera,Noctuidae,1885,NA,NA,NA,NA,"Nahrung, 2020"
Helicoverpa assulta,GuenÃ©e,Lepidoptera,Noctuidae,1890,NA,?native,NA,NA,TBA
Heliococcus summervillei,Brookes,Hemiptera,Pseudococcidae,1899,NA,NA,NA,NA,TBA
Hellula undalis,Fabricius,Lepidoptera,Pyralidae,1936,NA,NA,NA,NA,TBA
Helopeltis pernicalis,Stonedahl et al.,Hemiptera,Miridae,1972,NA,NA,NA,NA,TBA
Hemiberlesia lataniae,(Signoret),Hemiptera,Diaspididae,1897,NA,NA,NA,NA,"Nahrung, 2020"
Hemiberlesia palmae,Cockerell,Hemiptera,Diaspididae,1985,NA,NA,NA,NA,"Nahrung, 2020"
Hemiberlesia rapax,(Comstock),Hemiptera,Diaspididae,1890,Europe,NA,NA,NA,"Nahrung, 2020"
Henosepilachna vigintioctopunctata,(Fabricius),Coleoptera,Coccinellidae,1894,NA,NA,NA,NA,TBA
Heterobostrychus aequalis,Waterhouse,Coleoptera,Bostrichidae,2016,Asia,NA,NA,NA,"Nahrung, 2020"
Heteronychus arator,(Fabricius),Coleoptera,Dynastidae,1925,Africa,NA,NA,NA,"Nahrung, 2020"
Heteropeza pygmaea,Winnertz,Diptera,Cecidomyiidae,1936,NA,NA,NA,NA,TBA
Heteropsylla cubana,Crawford,Hemiptera,Psyllidae,1986,NA,NA,NA,NA,TBA
Hofmannophila pseudospretella,(Stainton),Lepidoptera,Oecophoridae,1942,NA,NA,NA,Y,TBA
Hormocerus reticulatus,(Fabricius),Coleoptera,Curculionidae,1968,NA,NA,NA,NA,TBA
Howardia biclavis,Comstock,Hemiptera,Diaspididae,1937,NA,NA,NA,NA,TBA
Hyadaphis foeniculi,"(Passerini, 1860)",Hemiptera,Aphididae,1931,NA,NA,NA,NA,TBA
Hyadaphis passerinii,(Del Guercio),Hemiptera,Aphididae,NA,NA,NA,NA,NA,TBA
Hyalopterus pruni,Geoffroy,Hemiptera,Aphididae,1961,NA,NA,NA,NA,TBA
Hylastes ater,(Paykull),Coleoptera,Curculionidae,1936,Eurasia,NA,NA,NA,"Nahrung, 2020"
Hylotrupes bajulus,"(Linnaeus, 1758)",Coleoptera,Cerambycidae,2004,Europe,NA,NA,NA,"Nahrung, 2020"
Hylurgus ligniperda,Fabricius,Coleoptera,Curculionidae,1942,Europe,NA,NA,NA,"Nahrung, 2020"
Hypena laceratalis,Walker,Lepidoptera,Noctuidae,1958,NA,NA,NA,Y,TBA
Hyperomyzus carduellinus,(Theobald),Hemiptera,Aphididae,1941,NA,NA,NA,NA,TBA
Hyperomyzus lactucae,Linnaeus,Hemiptera,Aphididae,1936,NA,NA,NA,NA,TBA
Hypocala deflorata,(Fabricius),Lepidoptera,Noctuidae,1903,NA,?native,NA,NA,TBA
Hypocryphalus mangiferae,(Stebbing),Coleoptera,Curculionidae,1967,NA,NA,NA,NA,TBA
Hypothenemus areccae,(Hornung: 1842),Coleoptera,Curculionidae,NA,NA,NA,NA,NA,TBA
Hypothenemus birmanus,(Eichoff),Coleoptera,Curculionidae,1932,Asia,NA,NA,NA,"Nahrung, 2020"
Hypothenemus californicus,Hopkins,Coleoptera,Curculionidae,1987,NA,NA,NA,NA,TBA
Hypothenemus crudiae,(Panzer),Coleoptera,Curculionidae,1985,NA,NA,NA,NA,TBA
Hypothenemus eruditus,(Westwood),Coleoptera,Curculionidae,1910,S.America,NA,NA,NA,"Nahrung, 2020"
Hypothenemus ingens,Wood & Bright,Coleoptera,Curculionidae,NA,NA,NA,NA,NA,TBA
Hypothenemus seriatus,(Eichhoff: 1872),Coleoptera,Curculionidae,1946,Asia,NA,NA,NA,"Nahrung, 2020"
Hypurus bertrandi,Perris,Coleoptera,Curculionidae,1983,NA,NA,NA,NA,TBA
Hysteroneura setariae,Thomas,Hemiptera,Aphididae,1974,NA,NA,NA,NA,TBA
Idiopterus nephrelepidis,Davis,Hemiptera,Aphididae,1939,NA,NA,NA,NA,TBA
Idioscopus clypealis,Lethierry,Hemiptera,Cicadellidae,1999,NA,NA,NA,NA,TBA
Idioscopus nitidulus,Walker,Hemiptera,Cicadellidae,1979,NA,NA,NA,NA,TBA
Ips grandicollis,(Eichoff),Coleoptera,Curculionidae,1943,N.America,NA,NA,NA,"Nahrung, 2020"
Ischnaspis longirostris,(Signoret),Hemiptera,Diaspididae,1897,NA,NA,NA,NA,TBA
Ischyja manlia,Cramer,Lepidoptera,Noctuidae,1928,NA,NA,NA,NA,TBA
Ithome lassula,Hodges,Lepidoptera,Cosmopterigidae,1980,NA,NA,NA,NA,TBA
Japananus hyalinus,(Osborn),Hemiptera,Aphididae,1987,Asia,NA,NA,NA,"Nahrung, 2020"
Kuwanaspis howardi,(Cooley),Hemiptera,Diaspididae,1989,NA,NA,NA,NA,TBA
Kuwanaspis vermiformis,(Takahashi),Hemiptera,Diaspididae,2003,NA,NA,NA,NA,TBA
Kybos lindbergi,(Linnavuori),Hemiptera,Cicadellidae,1998,Europe,NA,NA,NA,"Nahrung, 2020"
Labidura riparia,Pallas,Dermaptera,Labiduridae,1899,NA,NA,NA,NA,TBA
Lachesilla pedicularia,Linnaeus,Psocoptera,Lachesillidae,NA,NA,NA,NA,NA,TBA
Lachesilla quercus,(Kolbe),Psocoptera,Lachesillidae,2003,NA,NA,NA,NA,TBA
Lasioderma serricorne,"(Fabricius, 1792)",Coleoptera,Anobiidae,1892,NA,NA,NA,NA,TBA
Latheticus oryzae,"Waterhouse, 1880",Coleoptera,Tenebrionidae,1918,NA,NA,NA,NA,TBA
Lema bilineata,Germer,Coleoptera,Chrysomelidae,2008,NA,NA,NA,NA,TBA
Lema daturaphila,"Kogan & Goeden, 1970",Coleoptera,Chrysomelidae,1985,NA,NA,NA,NA,TBA
Lepidosaphes beckii,"(Newman, 1869)",Hemiptera,Diaspididae,1895,NA,NA,NA,NA,TBA
Lepidosaphes camelliae,Hoke,Hemiptera,Diaspididae,1938,NA,NA,NA,NA,TBA
Lepidosaphes gloverii,(Packard),Hemiptera,Diaspididae,1908,NA,NA,NA,NA,TBA
Lepidosaphes tokionis,Kuwana,Hemiptera,Diaspididae,1939,NA,NA,NA,NA,TBA
Lepidosaphes ulmi,(Linnaeu),Hemiptera,Diaspididae,1902,NA,NA,NA,NA,TBA
Lepinotus inquilinus,Heyden,Psocoptera,Trogiidae,1952,NA,NA,NA,NA,TBA
Lepinotus patruelis,Pearman,Psocoptera,Trogiidae,NA,NA,NA,NA,NA,TBA
Lepinotus reticulatus,(Enderlein),Psocoptera,Trogiidae,2016,NA,NA,NA,NA,TBA
Leptideela brevipennis,Mulsant,Coleoptera,Cerambycidae,1951,NA,NA,NA,NA,TBA
Leptocneria reducta,Walker,Lepidoptera,Lymantriidae,1899,NA,NA,NA,NA,TBA
Leptocorisa acuta,Thunberg,Hemiptera,Alydidae,1893,NA,NA,NA,NA,TBA
Leptoglossus gonagra,Fabricius,Hemiptera,Coreidae,1901,NA,NA,NA,NA,TBA
Leptynoptera sulfurea,Crawford,Hemiptera,Psyllidae,1978,NA,NA,NA,NA,TBA
Linogeraeus urbanus,(Bohemnan),Coleoptera,Curculionidae,1927,NA,NA,NA,NA,TBA
Liorhyssus hyalinus,(Fabricius),Hemiptera,Rhopalidae,1967,NA,NA,NA,NA,TBA
Liosomaphis berberidis,Kaltenbach,Hemiptera,Aphididae,1968,NA,NA,NA,NA,TBA
Lipaphis erysimi,(Kaltenbach 1843),Hemiptera,Aphididae,1931,NA,NA,NA,NA,TBA
Lipaphis pseudobrassicae,"(Davis, 1914)",Hemiptera,Aphididae,1931,NA,NA,NA,NA,TBA
Liposcelis bostrychophila,Badonnel,Psocoptera,Liposcelidae,NA,NA,NA,NA,NA,TBA
Liposcelis brunnea,Motchulsky,Psocoptera,Liposcelidae,2003,NA,NA,NA,NA,TBA
Liposcelis corrodens,(Heymans),Psocoptera,Liposcelidae,NA,NA,NA,NA,NA,TBA
Liposcelis decolor,"(Pearman, 1925)",Psocoptera,Liposcelidae,NA,NA,NA,NA,NA,TBA
Liposcelis entomophila,"(Enderlein, 1907)",Psocoptera,Liposcelidae,NA,NA,NA,NA,NA,TBA
Liposcelis mendax,Pearman & JV,Psocoptera,Liposcelidae,NA,NA,NA,NA,NA,TBA
Liposcelis paeta,Pearman,Psocoptera,Liposcelidae,NA,NA,NA,NA,NA,TBA
Liposcelis rufa,Broadhead,Psocoptera,Liposcelidae,NA,NA,NA,NA,NA,TBA
Liriomyza brassicae,"(Riley, 1885)",Diptera,Agromyzidae,1935,NA,NA,NA,NA,TBA
Liriomyza chenopodii,Watt,Diptera,Agromyzidae,1968,NA,NA,NA,NA,TBA
Liriomyza sativae,Blanchard,Diptera,Agromyzidae,2008,NA,NA,NA,NA,TBA
Listroderes costirostris,SchÃ¶nherr,Coleoptera,Curculionidae,1916,NA,NA,NA,NA,TBA
Listroderes delaiguei,Germain,Coleoptera,Curculionidae,1899,NA,NA,NA,NA,TBA
Listroderes difficilis,"Germain, 1895",Coleoptera,Curculionidae,1908,NA,NA,NA,NA,TBA
Listroderes foveatus,Shoenherr,Coleoptera,Curculionidae,1925,NA,NA,NA,NA,TBA
Listronotus bonariensis,"(Kuschel, 1955)",Coleoptera,Curculionidae,1962,NA,NA,NA,NA,TBA
Litargus balteatus,(Tamaki),Coleoptera,Mycetophagidae,1892,NA,NA,NA,NA,TBA
Lycoriella auripila,Fitch,Diptera,Sciaridae,1964,NA,NA,NA,NA,TBA
Lycoriella ingenua,(Dufour),Diptera,Sciaridae,1978,NA,synonym of Lycoriella mali,NA,NA,TBA
Lycoriella multiseta,Felt,Diptera,Sciaridae,1977,NA,NA,NA,NA,TBA
Lyctocoris campestris,Fabricius,Hemiptera,Anthocoridae,1983,NA,NA,NA,NA,TBA
Lyctus brunneus,Stephens,Coleoptera,Bostrichidae,1899,S.America,NA,NA,NA,"Nahrung, 2020"
Lyctus discedens,Blackburn,Coleoptera,Bostrichidae,1922,Asia,NA,NA,NA,"Nahrung, 2020"
Lyramorpha rosea,Westwood,Hemiptera,Tessaratomidae,1922,NA,NA,NA,NA,TBA
Macrosiphoniella sanborni,(Gillette),Hemiptera,Aphididae,1920,NA,NA,NA,NA,TBA
Macrosiphum euphorbiae,"(Thomas, 1878)",Hemiptera,Aphididae,1920,N.America,NA,NA,NA,"Nahrung, 2020"
Macrosiphum hellebori,Theobald & Walton,Hemiptera,Aphididae,2015,NA,NA,NA,NA,TBA
Macrosiphum rosae,Linnaeus,Hemiptera,Aphididae,1902,NA,NA,NA,NA,TBA
Mampava rhodoneura,Turner,Lepidoptera,Pyralidae,1972,NA,NA,NA,NA,TBA
Marchalina hellenica,(Gennadius),Hemiptera,Margarodidae,2014,Europe,NA,NA,NA,"Nahrung, 2020"
Maruca vitrata,Fabricius,Lepidoptera,Pyralidae,1898,NA,NA,NA,NA,TBA
Megaselia halterata,Wood,Diptera,Phoridae,NA,NA,NA,NA,NA,TBA
Megoura crassicauda,Mordviko,Hemiptera,Aphididae,2016,NA,NA,NA,NA,TBA
Melanagromyza sojae,Zehntner,Diptera,Agromyzidae,1960,NA,NA,NA,NA,TBA
Melanaphis bambusae,(Fullaway),Hemiptera,Aphididae,1921,NA,NA,NA,NA,TBA
Melanaphis sacchari,(Zehntner),Hemiptera,Aphididae,1928,NA,NA,NA,NA,TBA
Metopolophium dirhodum,"(Walker, 1849)",Hemiptera,Aphididae,2008,NA,NA,NA,NA,TBA
Mezium affine,"Boieldieu, 1856",Coleoptera,Anobiidae,1903,NA,NA,NA,NA,TBA
Mezium americanum,"(Laporte, 1840)",Coleoptera,Anobiidae,1900,NA,NA,NA,NA,TBA
Milviscutulus mangiferae,Green,Hemiptera,Coccidae,1988,Asia,NA,NA,NA,"Nahrung, 2020"
Minthea reticulata,Lesne,Coleoptera,Bostrichidae,1954,NA,NA,NA,NA,TBA
Minthea rugicollis,Walker,Coleoptera,Bostrichidae,1924,Asia,NA,NA,NA,"Nahrung, 2020"
Morganella longispina,(Morgan),Hemiptera,Diaspididae,1933,Asia,NA,NA,NA,"Nahrung, 2020"
Moritziella corticalis,(Kaltenbach),Hemiptera,Phylloxeridae,1967,Europe,NA,NA,NA,"Nahrung, 2020"
Motschulskyia serratus,Matsumura,Hemiptera,Cicadellidae,1988,NA,NA,NA,NA,TBA
Murmidius ovalis,(Beck),Coleoptera,Cerylonidae,NA,NA,NA,NA,NA,TBA
Mycetophagus quadriguttatus,Muller,Coleoptera,Mycetophagidae,1960,NA,NA,NA,NA,TBA
Mycophila barnesi,Edwards,Diptera,Cecidomyiidae,1986,NA,NA,NA,NA,TBA
Mythimna unipuncta,(Hawarth),Lepidoptera,Noctuidae,1911,NA,NA,NA,NA,TBA
Myzaphis rosarum,Kaltenbach,Hemiptera,Aphididae,1928,NA,NA,NA,NA,TBA
Myzocallis castanicola,Baker,Hemiptera,Aphididae,1920,N.America,NA,NA,NA,"Nahrung, 2020"
Myzocallis coryli,Goeze,Hemiptera,Aphididae,1946,NA,NA,NA,NA,TBA
Myzus antirrhinii,Macchiati,Hemiptera,Aphididae,NA,NA,NA,NA,NA,TBA
Myzus ascalonicus,"Doncaster, 1946",Hemiptera,Aphididae,1961,NA,NA,NA,NA,TBA
Myzus cerasi,Fabricius,Hemiptera,Aphididae,1927,NA,NA,NA,NA,TBA
Myzus cymbalariae,Stroyan,Hemiptera,Aphididae,1960,NA,NA,NA,NA,TBA
Myzus hemerocallis,Takahashi,Hemiptera,Aphididae,NA,NA,NA,NA,NA,TBA
Myzus ornatus,"Laing, 1932",Hemiptera,Aphididae,1941,NA,NA,NA,NA,TBA
Myzus persicae,"(Sulzer, 1775)",Hemiptera,Aphididae,1903,Asia,NA,NA,NA,"Nahrung, 2020"
Nacerdes melanura,Linnaeus,Coleoptera,Oedemeridae,1957,NA,NA,NA,NA,TBA
Nacoleia octasema,Meyrick,Lepidoptera,Pyralidae,1926,NA,NA,NA,NA,TBA
Nasonovia ribisnigri,(Mosley),Hemiptera,Aphididae,2004,NA,NA,NA,NA,TBA
Naupactus cervinus,(Boheman),Coleoptera,Curculionidae,1934,S.America,NA,NA,NA,"Nahrung, 2020"
Naupactus leucoloma,Boheman,Coleoptera,Curculionidae,1929,S.America,NA,NA,NA,"Nahrung, 2020"
Naupactus peregrinus,(Buchanon)),Coleoptera,Curculionidae,1985,NA,NA,NA,NA,TBA
Nausibius clavicornis,Kugelann,Coleoptera,Silvanidae,1982,NA,NA,NA,NA,TBA
Nemapogon granella,Linnaeus,Lepidoptera,Tineidae,1950,NA,NA,NA,NA,TBA
Nematus oligospilus,Forster,Hymenoptera,Tenthredinidae,2003,Europe,NA,NA,NA,"Nahrung, 2020"
Neotoxoptera formosana,Takahashi,Hemiptera,Aphididae,1977,NA,NA,NA,NA,TBA
Neotoxoptera oliveri,Essig,Hemiptera,Aphididae,1943,NA,NA,NA,NA,TBA
Neotoxoptera violae,Pergande,Hemiptera,Aphididae,1928,NA,NA,NA,NA,TBA
Nephotettix malayanus,Ishihara & Kawase,Hemiptera,Cicadellidae,1982,NA,NA,NA,NA,TBA
Nephotettix nigropictus,StÃ¥l,Hemiptera,Cicadellidae,1904,NA,NA,NA,NA,TBA
Nephotettix virescens,Distant,Hemiptera,Cicadellidae,1984,NA,NA,NA,NA,TBA
Nesidiocoris tenuis,(Reuter),Hemiptera,Miridae,NA,NA,NA,NA,NA,TBA
Nezara viridula,"(Linnaeus, 1758)",Hemiptera,Pentatomidae,1905,NA,NA,NA,NA,TBA
Niptus hololeucus,"(Faldermann, 1836)",Coleoptera,Anobiidae,NA,NA,NA,NA,NA,TBA
Nysius caledoniae,Distant,Hemiptera,Lygaeidae,1903,NA,NA,NA,NA,TBA
Odonaspis ruthae,Kotinsky,Hemiptera,Diaspididae,1912,NA,NA,NA,NA,TBA
Odonaspis saccharicaulis,(Zehntner),Hemiptera,Diaspididae,2002,NA,NA,NA,NA,TBA
Omosita colon,(Linnaeus),Coleoptera,Nitidulidae,1944,NA,NA,NA,NA,TBA
Ophiomyia phaseoli,Tryon,Diptera,Agromyzidae,1898,NA,NA,NA,NA,TBA
Ophiusa coronata,(Fabricius),Lepidoptera,Noctuidae,1959,NA,NA,NA,NA,TBA
Ophiusa disjungens,(Walker),Lepidoptera,Noctuidae,1902,NA,NA,NA,NA,TBA
Ophiusa trapezium,(Guenee),Lepidoptera,Noctuidae,NA,NA,?native,NA,NA,TBA
Opsius stactogalus,Fieber,Hemiptera,Cicadellidae,1948,NA,NA,NA,NA,TBA
Oraesia emarginata,(Fabricius),Lepidoptera,Noctuidae,NA,NA,?native,NA,NA,TBA
Orchidophilus aterrimus,Waterhouse,Coleoptera,Curculionidae,1904,NA,NA,NA,NA,TBA
Oryzaephilus mercator,Fauvel,Coleoptera,Silvanidae,1934,NA,NA,NA,NA,TBA
Oryzaephilus surinamensis,"(Linnaeus, 1758)",Coleoptera,Silvanidae,1901,NA,NA,NA,NA,TBA
Ostrinia furnacalis,GuenÃ©e,Lepidoptera,Pyralidae,1907,NA,NA,NA,NA,TBA
Otiorhynchus cribricollis,Gyllenhal,Coleoptera,Curculionidae,1888,S.America,NA,NA,NA,"Nahrung, 2020"
Otiorhynchus rugosostriatus,(Goeze),Coleoptera,Curculionidae,1902,NA,NA,NA,NA,TBA
Otiorhynchus sulcatus,"(Fabricius, 1775)",Coleoptera,Curculionidae,1921,NA,NA,NA,NA,TBA
Ovatus crataegarius,Walker,Hemiptera,Aphididae,1920,NA,NA,NA,NA,TBA
Oxya japonica,Thunberg,Orthoptera,Acrididae,1963,NA,NA,NA,NA,TBA
Oxycarenus luctuosus,Montrouzier,Hemiptera,Lygaeidae,1935,NA,NA,NA,NA,TBA
Oxydema procer,Boheman,Coleoptera,Curculionidae,NA,NA,NA,NA,NA,TBA
Oxyodes scrobiculata,(Fabricius),Lepidoptera,Noctuidae,NA,NA,?native,NA,NA,TBA
Palorus ratzeburgi,Wissmann,Coleoptera,Tenebrionidae,1978,NA,NA,NA,NA,TBA
Palorus subdepressus,(Wollaston),Coleoptera,Tenebrionidae,1942,NA,NA,NA,NA,TBA
Paralecanium expansum,Green,Hemiptera,Coccidae,1916,NA,NA,NA,NA,TBA
Paralipsa gularis,(Zeller),Lepidoptera,Pyralidae,1983,NA,NA,NA,NA,TBA
Parapoynx stagnalis,Zeller,Lepidoptera,Pyralidae,1898,NA,NA,NA,NA,TBA
Parasaissetia nigra,Nietner,Hemiptera,Coccidae,1900,Africa,NA,NA,NA,"Nahrung, 2020"
Parlatoria blanchardi,Targioni,Hemiptera,Diaspididae,1903,NA,NA,NA,NA,TBA
Parlatoria crotonis,(Douglas),Hemiptera,Diaspididae,1955,NA,NA,NA,NA,TBA
Parlatoria oleae,(ColvÃ©e),Hemiptera,Diaspididae,1939,NA,NA,NA,NA,TBA
Parlatoria pergandii,Comstock,Hemiptera,Diaspididae,1906,Asia,NA,NA,NA,"Nahrung, 2020"
Parlatoria proteus,Curtis,Hemiptera,Diaspididae,1893,NA,NA,NA,NA,TBA
Parthenolecanium corni,BouchÃ©,Hemiptera,Coccidae,1976,NA,NA,NA,NA,TBA
Parthenolecanium persicae,"(Fabricius, 1776)",Hemiptera,Coccidae,1902,NA,NA,NA,NA,TBA
Patagoniodes farinaria,Turner,Lepidoptera,Pyralidae,1949,NA,NA,NA,NA,TBA
Pealius azaleae,Baker & Moles,Hemiptera,Aleyrodidae,1960,NA,NA,NA,NA,TBA
Pectinophora gossypiella,Saunders,Lepidoptera,Gelechiidae,1914,NA,NA,NA,NA,TBA
Pectinophora scutigera,Holdaway,Lepidoptera,Gelechiidae,1942,NA,NA,NA,NA,TBA
Pemphigus bursarius,(Linneaus),Hemiptera,Aphididae,1924,Europe,NA,NA,NA,"Nahrung, 2020"
Pemphigus populitransversus,Riley,Hemiptera,Aphididae,1995,NA,NA,NA,NA,TBA
Pentalonia caladii,van der Groot,Hemiptera,Aphididae,1986,NA,NA,NA,NA,TBA
Pentalonia nigronervosa,(Coquerel),Hemiptera,Aphididae,1892,NA,NA,NA,NA,TBA
Periphyllus californiensis,Shinji,Hemiptera,Aphididae,1957,Asia,NA,NA,NA,"Nahrung, 2020"
Perkinsiella thompsoni,Muir,Hemiptera,Delphacidae,1997,NA,NA,NA,NA,TBA
Phenacoccus graminicola,Leonardi,Hemiptera,Pseudococcidae,1953,NA,NA,NA,NA,TBA
Phenacoccus parvus,Morrison,Hemiptera,Pseudococcidae,1988,NA,NA,NA,NA,TBA
Phenacoccus solani,Ferris,Hemiptera,Pseudococcidae,2005,NA,NA,NA,NA,TBA
Phenacoccus solenopsis,Tinsley,Hemiptera,Pseudococcidae,2009,NA,NA,NA,NA,TBA
Phloeosinus cupressi,Hopkins,Coleoptera,Curculionidae,1947,N.America,NA,NA,NA,"Nahrung, 2020"
Phloeosinus dubiosus,Schedl,Coleoptera,Curculionidae,1952,NA,NA,NA,NA,TBA
Phlyctinus callosus,(SchÃ¶nherr),Coleoptera,Curculionidae,1888,Africa,NA,NA,NA,"Nahrung, 2020"
Phthorimaea operculella,"(Zeller, 1873)",Lepidoptera,Gelechiidae,1898,NA,NA,NA,NA,TBA
Phyllaphis fagi,Linnaeus,Hemiptera,Aphididae,1946,NA,NA,NA,NA,TBA
Phyllocnistis citrella,"Stainton, 1856",Lepidoptera,Gracillariidae,1964,NA,NA,NA,NA,TBA
Phyllonorycter messaniella,(Zeller),Lepidoptera,Gracillariidae,1975,Europe,NA,NA,NA,"Nahrung, 2020"
Phyllotreta undulata,Kutschera,Coleoptera,Chrysomelidae,1940,NA,NA,NA,NA,TBA
Pieris rapae,"(Linnaeus, 1758)",Lepidoptera,Pieridae,1947,NA,NA,NA,NA,TBA
Pineus pini,(Macquart),Hemiptera,Adelgidae,1920,NA,(sensu lato),NA,NA,TBA
Pinnaspis aspidistrae,(Signoret),Hemiptera,Diaspididae,1899,NA,NA,NA,NA,TBA
Pinnaspis buxi,(Bouche),Hemiptera,Diaspididae,1981,Asia,NA,NA,NA,"Nahrung, 2020"
Pinnaspis strachani,(Cooley),Hemiptera,Diaspididae,1913,Asia,NA,NA,NA,"Nahrung, 2020"
Planococcus citri,(Risso),Hemiptera,Pseudococcidae,1900,Asia,NA,NA,NA,"Nahrung, 2020"
Planococcus lilacinus,Cockerell,Hemiptera,Pseudococcidae,1983,NA,NA,NA,NA,TBA
Planococcus mali,Ezzat & McConnell,Hemiptera,Pseudococcidae,1962,NA,NA,NA,NA,TBA
Planococcus minor,Maskell,Hemiptera,Pseudococcidae,1926,Asia,NA,NA,NA,"Nahrung, 2020"
Platypus hybridus,Schedl,Coleoptera,Curculionidae,2013,NA,NA,NA,NA,TBA
Plectris aliena,Chapin,Coleoptera,Scarabaeidae,1979,NA,NA,NA,NA,TBA
Pleotrichophorus chrysanthemi,(Theobald),Hemiptera,Aphididae,1963,NA,NA,NA,NA,TBA
Plodia interpunctella,(HÃ¼bner),Lepidoptera,Pyralidae,1899,NA,NA,NA,NA,TBA
Plutella xylostella,(Linnaeus),Lepidoptera,Plutellidae,1939,NA,NA,NA,NA,TBA
Polytus mellerborgii,(Boheman),Coleoptera,Curculionidae,1932,NA,NA,NA,NA,TBA
Pontania proxima,(Lepeletier),Hymenoptera,Tenthridinidae,1994,Eurasia,NA,NA,NA,"Nahrung, 2020"
Priophorus morio,Lepeletier,Hymenoptera,Tenthredinidae,1974,NA,NA,NA,NA,TBA
Procontarinia pustulata,Kolesik,Diptera,Cecidomyiidae,2008,NA,NA,NA,NA,TBA
Prodromus oculatus,(Poppius),Hemiptera,Nabidae,2000,NA,NA,NA,NA,TBA
Protopulvinaria pyriformis,(Cockerell),Hemiptera,Coccidae,2015,NA,NA,NA,NA,TBA
Pselactus spadix,(Herbst),Coleoptera,Curculionidae,NA,NA,NA,NA,NA,TBA
Pseudaonidia trilobitiformis,(Green),Hemiptera,Diaspididae,1982,NA,NA,NA,NA,TBA
Pseudaulacaspis cockerelli,Cooley,Hemiptera,Diaspididae,1914,Asia,NA,NA,NA,"Nahrung, 2020"
