genus_species,AUTHORITY,ORDER,FAMILY,Year,Origin,notes,COMMON NAME/S,Intentional_Release,source
Vespula vulgaris,NA,Hymenoptera,Vespidae,NA,NA,NA,NA,NA,TBA
Polistes dominua,NA,Hymenoptera,Vespidae,NA,NA,NA,NA,NA,TBA
Polistes chinensis,NA,Hymenoptera,Vespidae,NA,NA,NA,NA,NA,TBA
Aeolothrips fasciatus,(Linnaeus),Thysanoptera,Aeolothripidae,1936,NA,NA,NA,NA,TBA
Franklinothrips vespiformis,(Crawford),Thysanoptera,Aeolothripidae,NA,NA,NA,NA,NA,TBA
Rhipidothrips brunneus,Williams,Thysanoptera,Aeolothripidae,1989,NA,NA,NA,NA,TBA
Merothrips floridensis,Watson,Thysanoptera,Merothripidae,NA,NA,NA,NA,NA,TBA
Merothrips morgani,Hood,Thysanoptera,Merothripidae,NA,NA,NA,NA,NA,TBA
Aleurodothrips fasciapennis,(Franklin),Thysanoptera,Phlaeothripidae,NA,NA,NA,NA,NA,TBA
Bagnalliella yuccae,(Hinds),Thysanoptera,Phlaeothripidae,2011,NA,NA,NA,NA,TBA
Gynaikothrips ficorum,(Marchal),Thysanoptera,Phlaeothripidae,1899,NA,NA,NA,NA,TBA
Gynaikothrips uzeli,(Zimmerman),Thysanoptera,Phlaeothripidae,2012,NA,NA,NA,NA,TBA
Haplothrips gowdeyi,(Franklin),Thysanoptera,Phlaeothripidae,1926,NA,NA,NA,NA,TBA
Hoplothrips corticis,(De Geer),Thysanoptera,Phlaeothripidae,NA,NA,NA,NA,NA,TBA
Karnyothrips flavipes,(Jones),Thysanoptera,Phlaeothripidae,NA,NA,NA,NA,NA,TBA
Karnyothrips melaleucus,(Bagnall),Thysanoptera,Phlaeothripidae,NA,NA,NA,NA,NA,TBA
Liothrips vaneeckei,Priesner,Thysanoptera,Phlaeothripidae,2001,NA,NA,NA,NA,"Nahrung, 2020"
Pygmaeothrips angusticeps,(Hood),Thysanoptera,Phlaeothripidae,NA,NA,NA,NA,NA,TBA
Stephanothrips occidentalis,Hood & Williams,Thysanoptera,Phlaeothripidae,NA,NA,NA,NA,NA,TBA
Gastrothrips acuticornis,(Hood),Thysanoptera,Phlaeothripidae,NA,NA,NA,NA,NA,TBA
Asprothrips seminigricornis,(Girault),Thysanoptera,Thripidae,1942,NA,NA,NA,NA,TBA
Leucothrips nigripennis,Reuter,Thysanoptera,Thripidae,1996,NA,NA,NA,NA,TBA
Pseudodendrothrips mori,(Niwa),Thysanoptera,Thripidae,NA,NA,NA,NA,NA,TBA
Anisopilothrips venustulus,(Priesner),Thysanoptera,Thripidae,2007,NA,NA,NA,NA,TBA
Astrothrips tumiceps,Karny,Thysanoptera,Thripidae,2012,NA,NA,NA,NA,TBA
Caliothrips quadrifasciatus,(Girault),Thysanoptera,Thripidae,1995,NA,NA,NA,NA,TBA
Caliothrips striatopterus,(Kobus),Thysanoptera,Thripidae,1958,NA,NA,NA,NA,TBA
Copidothrips octarticulatus,(Schmutz),Thysanoptera,Thripidae,NA,NA,NA,NA,NA,TBA
Elixothrips brevisetis,(Bagnall),Thysanoptera,Thripidae,1996,NA,NA,NA,NA,TBA
Helionothrips errans,(Williams),Thysanoptera,Thripidae,2008,NA,NA,NA,NA,TBA
Heliothrips haemorrhoidalis,(BouchÃ©),Thysanoptera,Thripidae,1893,NA,NA,NA,NA,"Nahrung, 2020"
Hercinothrips bicinctus,(Bagnall),Thysanoptera,Thripidae,1925,NA,NA,NA,NA,TBA
Hercinothrips femoralis,(Reuter),Thysanoptera,Thripidae,1987,NA,NA,NA,NA,TBA
Parthenothrips dracaenae,(Heeger),Thysanoptera,Thripidae,1977,NA,NA,NA,NA,TBA
Selenothrips rubrocinctus,(Giard),Thysanoptera,Thripidae,1905,NA,NA,NA,NA,TBA
Neohydatothrips gracilipes,(Hood),Thysanoptera,Thripidae,1996,NA,NA,NA,NA,TBA
Neohydatothrips samayunkur,Kudo,Thysanoptera,Thripidae,1997,NA,NA,NA,NA,TBA
Apterothrips apteris,(Daniel),Thysanoptera,Thripidae,1957,NA,NA,NA,NA,TBA
Aptinothrips rufus,(Haliday),Thysanoptera,Thripidae,1960,NA,NA,NA,NA,TBA
Anaphothrips obscurus,(MÃ¼ller),Thysanoptera,Thripidae,1959,NA,NA,NA,NA,TBA
Anaphothrips sudanensis,Trybom,Thysanoptera,Thripidae,1959,NA,NA,NA,NA,TBA
Arorathrips mexicanus,(Crawford),Thysanoptera,Thripidae,1903,NA,NA,NA,NA,TBA
Arorathrips spiniceps,(Hood),Thysanoptera,Thripidae,NA,NA,NA,NA,NA,TBA
Bolacothrips striatopennatus,(Schmutz),Thysanoptera,Thripidae,1985,NA,NA,NA,NA,TBA
Chaetanaphothrips leeuweni,(Karny),Thysanoptera,Thripidae,NA,NA,NA,NA,NA,TBA
Chaetanaphothrips orchidii,(Moulton),Thysanoptera,Thripidae,1985,NA,NA,NA,NA,TBA
Chaetanaphothrips signipennis,(Bagnall),Thysanoptera,Thripidae,1924,NA,NA,NA,NA,TBA
Chirothrips manicatus,(Haliday),Thysanoptera,Thripidae,1960,NA,NA,NA,NA,TBA
Danothrips trifasciatus,Sakimura,Thysanoptera,Thripidae,2006,NA,NA,NA,NA,TBA
Dendrothripoides innoxius,(Karny),Thysanoptera,Thripidae,1995,NA,NA,NA,NA,TBA
Dichromothrips corbetti,(Priesner),Thysanoptera,Thripidae,1996,NA,NA,NA,NA,TBA
Echinothrips americanus,Morgan,Thysanoptera,Thripidae,2012,NA,NA,NA,NA,TBA
Frankliniella lantanae,Mound et al.,Thysanoptera,Thripidae,NA,NA,NA,NA,NA,TBA
Frankliniella occidentalis,(Pergande),Thysanoptera,Thripidae,1993,NA,NA,NA,NA,TBA
Frankliniella schultzei,(Trybom),Thysanoptera,Thripidae,1928,NA,NA,NA,NA,TBA
Frankliniella williamsi,Hood,Thysanoptera,Thripidae,1986,NA,NA,NA,NA,TBA
Limothrips angulicornis,Jablonowski,Thysanoptera,Thripidae,1967,NA,NA,NA,NA,TBA
Limothrips cerealium,(Haliday),Thysanoptera,Thripidae,1936,NA,NA,NA,NA,TBA
Limothrips denticornis,(Haliday),Thysanoptera,Thripidae,NA,NA,NA,NA,NA,TBA
Megalurothrips typicus,Bagnall,Thysanoptera,Thripidae,NA,NA,NA,NA,NA,TBA
Megalurothrips usitatus,(Bagnall),Thysanoptera,Thripidae,1935,NA,NA,NA,NA,TBA
Microcepthalothrips abdominalis,(Crawford),Thysanoptera,Thripidae,1955,NA,NA,NA,NA,TBA
Organothrips indicus,Bhatti,Thysanoptera,Thripidae,1998,NA,NA,NA,NA,TBA
Plesiothrips perplexus,(Beach),Thysanoptera,Thripidae,1964,NA,NA,NA,NA,TBA
Salpingothrips aimotofus,Kudo,Thysanoptera,Thripidae,NA,NA,NA,NA,NA,TBA
Scirtothrips aurantii,Faure,Thysanoptera,Thripidae,2002,NA,NA,NA,NA,TBA
Scirtothrips dorsalis,Hood,Thysanoptera,Thripidae,1935,NA,NA,NA,NA,TBA
Scirtothrips inermis,Priesner,Thysanoptera,Thripidae,1994,NA,NA,NA,NA,TBA
Scirtothrips longipennis,(Bagnall),Thysanoptera,Thripidae,1938,NA,NA,NA,NA,TBA
Scolothrips rhagebianus,Priesner,Thysanoptera,Thripidae,1994,NA,NA,NA,NA,TBA
Stenchaetothrips biformis,(Bagnall),Thysanoptera,Thripidae,1985,NA,NA,NA,NA,TBA
Taeniothrips euchariae,(Whetzel),Thysanoptera,Thripidae,NA,NA,NA,NA,NA,TBA
Tenothrips frici,(Uzel),Thysanoptera,Thripidae,1901,NA,NA,NA,NA,TBA
Thrips nigropilosus,Uzel,Thysanoptera,Thripidae,1932,NA,NA,NA,NA,TBA
Thrips palmi,Karny,Thysanoptera,Thripidae,1990,NA,NA,NA,NA,TBA
Thrips simplex,(Morison),Thysanoptera,Thripidae,1932,NA,NA,NA,NA,TBA
Thrips tabaci,Lindeman,Thysanoptera,Thripidae,1901,NA,NA,NA,NA,TBA
Thrips trehernei,Priesner,Thysanoptera,Thripidae,1927,NA,NA,NA,NA,TBA
Thrips vulgatissimus,Haliday,Thysanoptera,Thripidae,1962,NA,NA,NA,NA,TBA
Aedes vexans,NA,Diptera,Culicidae,1996,NA,NA,NA,NA,"Johansen, 2005"
Agonopterix alstroemeriana,NA,Lepidoptera,Depressariidae,2016,NA,NA,NA,NA,"Chen, 2020"
Culex tritaeniorhynchus,NA,Diptera,Culicidae,2020,NA,NA,NA,NA,"2021, Lessard"
Eudiagogus maryae,NA,Coleoptera,Curculionidae,2018,NA,NA,NA,NA,"2018, QuestaGame"
Barypeithes pellucidus,NA,Coleoptera,Curculionidae,2020,NA,NA,NA,NA,"2021, Field Guide to the insects of Tasmania"
Pyroderces badia,NA,Lepidoptera,Cosmopterygidae,2013,NA,NA,NA,NA,"Kolesik, 2018"
Sarucallis kahawaluokalani,NA,Hemiptera,Aphididae,2020,NA,NA,NA,NA,"Hales, 2020"
Aphis forbesi,NA,Hemiptera,Aphididae,2015,NA,NA,NA,NA,"Brumley, 2020"
Trichosiphonaphis polygoni,NA,Hemiptera,Aphididae,1991,NA,NA,NA,NA,"Brumley, 2020"
Wahlgreniella nervata,NA,Hemiptera,Aphididae,2017,NA,NA,NA,NA,"Brumley, 2020"
Reticulaphis distylii,NA,Hemiptera,Aphididae,1999,NA,NA,NA,NA,"Brumley, 2020"
Reticulaphis inflata,NA,Hemiptera,Aphididae,1997,NA,NA,NA,NA,"Brumley, 2020"
Amphorophora rubi,NA,Hemiptera,Aphididae,2004,NA,NA,NA,NA,"Brumley, 2020"
Dysaphis lappae,NA,Hemiptera,Aphididae,1982,NA,NA,NA,NA,"Brumley, 2020"
Hyperomyzus picridis,NA,Hemiptera,Aphididae,1999,NA,NA,NA,NA,"Brumley, 2020"
Pseudoregma sundanica,NA,Hemiptera,Aphididae,1981,NA,NA,NA,NA,"Brumley, 2020"
Schizoneuraphis gallarum,NA,Hemiptera,Aphididae,1999,NA,NA,NA,NA,"Brumley, 2020"
Acraea terpiscore,NA,Lepidoptera,Nymphalidae,2012,NA,NA,NA,0,TBA
Carmenta imosa,NA,Lepidoptera,Sesiidae,NA,NA,NA,NA,Y,TBA
Coleophora alcyonipennella,NA,Lepidoptera,Coleophoridae,1951,NA,NA,NA,0,TBA
Perixera illepidaria,NA,Lepidoptera,Geometridae,2021,NA,NA,NA,0,TBA
