GENUS_SPECIES,Authority,COMMON.NAME,Pest Type,JP NAME,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,Source
Murmidius ovalis,NA,NA,Stored,チビマルホソカタムシ,Coleoptera,NA,Cerylonidae,1919,NA,Seeds,Cosmopolitan,"Yamanaka, 2015"
Acanthoscelides macrophthalmus,NA,NA,Stored,Acanthoscelides macrophthalmus,Coleoptera,NA,Chrysomelidae,1991,NA,Seeds,Cosmopolitan,"Yamanaka, 2015"
Acanthoscelides obtectus,Say,bean weevil:dried bean beetle,Stored,インゲンマメゾウムシ,Coleoptera,NA,Chrysomelidae,1991,NA,Seeds,Nearctic  Neotropic,"Yamanaka, 2015"
Acanthoscelides pallidipennis,(Dorury),NA,Not pest,イタチハギマメゾウムシ,Coleoptera,NA,Chrysomelidae,1977,NA,Seeds,Nearctic,"Yamanaka, 2015"
Bruchus loti,(Pergande),NA,Not pest,ミヤコグサマメゾウムシ,Coleoptera,NA,Chrysomelidae,NA,NA,Seeds,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Bruchus pisorum,(Linnaeus),pea weevil:pea beetle,Outdoor:Stored,エンドウゾウムシ,Coleoptera,NA,Chrysomelidae,1965,NA,Seeds,Cosmopolitan,"Yamanaka, 2015"
Bruchus rufimanus,Bohemann,broadbean weevil:bean beetle,Outdoor:Stored,ソラマメゾウムシ,Coleoptera,NA,Chrysomelidae,1926,NA,Seeds,Nearctic  Palearctic(Asia)  Palearctic(Europe)  Afrotropic,"Yamanaka, 2015"
Callosobruchus chinensis,(Linnaeus),cowpea weevil :  adzuki bean weevil,Outdoor:Stored,アズキマメゾウムシ,Coleoptera,NA,Chrysomelidae,NA,NA,Seeds,Palearctic(Asia)  Indomalaya,"Yamanaka, 2015"
Callosobruchus maculatus,(Fabricius),four-spotted bean weevil :  cowpea weevil:four-spotted bean weevil,Stored,ヨツモンマメゾウムシ,Coleoptera,NA,Chrysomelidae,1945,NA,Seeds,Nearctic  Afrotropic,"Yamanaka, 2015"
Chaetocnema confinis,NA,NA,Outdoor,サツマイモヒサゴトビハムシ,Coleoptera,NA,Chrysomelidae,1995,NA,Root,Indomalaya Palearctic(Asia),"Yamanaka, 2015"
Epitrix hirtipennis,(Melsheimer),tobacco flea-beetle,Outdoor:Greenhouse,タバコノミハムシ,Coleoptera,NA,Chrysomelidae,2011,NA,Leaf,Nearctic,"Yamanaka, 2015"
Laccoptera quadrimaculata,NA,NA,Outdoor,ヨツモンカメノコハムシ,Coleoptera,NA,Chrysomelidae,1999,NA,Leaf,Palearctic(Asia)  Indomalaya,"Yamanaka, 2015"
Oides bowringii,Schoenherr,NA,Tree,キベリハムシ,Coleoptera,NA,Chrysomelidae,1913,NA,Leaf,Palearctic(Asia)  Indomalaya,"Yamanaka, 2015"
Ophraella communa,Blanchard,NA,Greenhouse,ブタクサハムシ,Coleoptera,NA,Chrysomelidae,1996,NA,Leaf,Nearctic,"Yamanaka, 2015"
Podagricomela weisei,NA,NA,Outdoor,カラタチトビハムシ,Coleoptera,NA,Chrysomelidae,2014,NA,Leaf (カラタチ),Palearctic(Asia)  China,"Yamanaka, 2015"
Sagra femorata,(Signoret),NA,Outdoor,フェモラータオオモモブトハムシ,Coleoptera,NA,Chrysomelidae,2009,NA,Leaf,Indomalaya,"Yamanaka, 2015"
Sulcobruchus sauteri,(Kerner),NA,Not pest,ザウテルマメゾウムシ,Coleoptera,NA,Chrysomelidae,NA,NA,Seeds,Indomalaya,"Yamanaka, 2015"
Trachymela sloanei,NA,NA,Not pest,ユーカリハムシ,Coleoptera,NA,Chrysomelidae,2008,NA,Leaf (ユーカリ),Australasia,"Yamanaka, 2015"
Cylindera kaleea yedoensis,NA,NA,Not pest (Predator),トウキョウヒメハンミョウ,Coleoptera,NA,Cicindelidae,NA,NA,Insect,NA,"Yamanaka, 2015"
Corynetes coeruleus,(DeGeer),syn(Korynetes caeruleus),Stored,ニセルリホシカムシ,Coleoptera,NA,Cleridae,1957,NA,DryA,Palearctic(Asia),"Yamanaka, 2015"
Necrobia ruficollis,(Fabricius),Red-shouldered ham beetle :  red-shouldered ham beetle,Stored,アカクビホシカムシ,Coleoptera,NA,Cleridae,1957,NA,DryA,Indomalaya,"Yamanaka, 2015"
Necrobia rufipes,(De Geer),Red-legged ham beetle :  red-legged ham beetle:copra beetle:ham beetle,Stored,アカアシホシカムシ,Coleoptera,NA,Cleridae,NA,NA,DryA,Palearctic(Asia),"Yamanaka, 2015"
Necrobia violacea,(Linnaeus),Imported currantworm,Stored,ルリホシカムシ,Coleoptera,NA,Cleridae,1945,NA,DryA,Palearctic(Asia),"Yamanaka, 2015"
Tarsostenus univittatus,(Rossi),syn(Tarsostenus unvittatus),Not pest (Predator),シロオビカッコウムシ,Coleoptera,NA,Cleridae,NA,NA,Insect,Palearctic(Asia),"Yamanaka, 2015"
Thaneroclerus buqueti,(Lefebvre),NA,Not pest (Predator),サビチビカッコウムシ,Coleoptera,NA,Cleridae,1957,NA,Insect,Palearctic(Asia),"Yamanaka, 2015"
Adalia bipunctata,(Linnaeus),twospotted lady beetle,Not pest (Predator),フタモンテントウ,Coleoptera,NA,Coccinellidae,1993,NA,Insect,Nearctic  Palearctic(Europe),"Yamanaka, 2015"
Brumoides ohtai,NA,syn (Brumoides ohotai),Not pest (Predator),ミスジキイロテントウ,Coleoptera,NA,Coccinellidae,1986,NA,Unkown,Indomalaya,"Yamanaka, 2015"
Calvia muiri,(Timberlake),NA,Not pest (Predator),ムーアシロホシテントウ,Coleoptera,NA,Coccinellidae,NA,NA,Fungus,Indomalaya,"Yamanaka, 2015"
