ORDER,FAMILY,GENUS SPECIES,YEAR,origin,STATUS,REFERENCE,Intentional_Release,source,established_indoors_or_outdoors
Hymenoptera,Aphelinidae,Aphelinus mali,1928,Cos [N. America],NE (intentionally),Lee (1996; Appendix I); Nakayama (1936),I,"Hong, 2012",Out
Hymenoptera,Aphelinidae,Encarsia formosa,1990,"Pal, Nea",NE (indoor; intentionally),Lee (1996; Appendix I); NPQS (2011),I,"Hong, 2012",In
Hymenoptera,Aphelinidae,Eretmocerus mundus,2007,"Pal, Eth, Nea",NE (indoor; intentionally),NPQS (2011),I,"Hong, 2012",In
Hymenoptera,Braconidae,Aphidius colemani,2003,"Pal, Eth, Aus, Nea, Net",NE (indoor; intentionally),NPQS (2011),I,"Hong, 2012",In
Hymenoptera,Braconidae,Dacnusa sibirica,2003,Pal [Europe],NE (indoor; intentionally),NPQS (2011),I,"Hong, 2012",In
Hymenoptera,Cynipidae,Dryocosmus kuriphilus,1959,"Pal, Nea [China?]",P,Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",Out
Hymenoptera,Bethylidae,Cephalonomia gallicola,1998,Cos,P hyg,Crosscheck with Lim et al. (2007) and Kiritani (2002),"NA","Hong, 2012",Out
Hymenoptera,Formicidae,Monomorium pharaonis,1940,Cos [Africa],P hyg,Lee (1996; Appendix I),"NA","Hong, 2012",Out
Hymenoptera,Formicidae,Pheidole indica,"NA",Ori,Non P,Cross-check Kim and Kim (1982) and Morimoto and Kiritani (1995),"NA","Hong, 2012",Out
Hymenoptera,Formicidae,Tapinoma melanocephalum,2005,"Aus, Nea, Net",P hyg,Choe et al. (2009),"NA","Hong, 2012",Out
Hymenoptera,Sphecidae,Sceliphron deforme,"NA",Ori,Non P,Lee (1996; Appendix I); Paik (1981),"NA","Hong, 2012",Out
Hymenoptera,Sphecidae,Sceliphron madraspatanum,"NA",Ori,Non P,Lee (1996; Appendix I); Paik (1981),"NA","Hong, 2012",Out
Hymenoptera,Apidae,Apis mellifera,"NA",Cos,U (intentionally),Lee (1996; Appendix I),I,"Hong, 2012",Out
Hymenoptera,Apidae,Bombus terrestris,2002,Pal [Europe],U (indoor; intentionally),NPQS (2011),I,"Hong, 2012",In
Siphonaptera,Pulicidae,Pulex irritans,"NA",Cos,P hyg (indoor),Lee (1996; Appendix I),"NA","Hong, 2012",In
Siphonaptera,Pulicidae,Xenopsylla cheopis,"NA",Ori,P hyg,Cross-check ESK/KSAE (1994) and Kiritani (2002),"NA","Hong, 2012",Out
Diptera,Culicidae,Culex pipiens,"NA","Pal, Eth, Aus, Net",P hyg (indoor),Cross-check ESK/KSAE (1994) and Kiritani (2002),"NA","Hong, 2012",In
Diptera,Psychodidae,Tinearia alternata,"NA",Pal,P hyg,Cross-check ESK/KSAE (1994) and Kiritani (2002),"NA","Hong, 2012",Out
Diptera,Cecidomyiidae,Contarinia maculipennis,2007,"Ori, Nea",P* (indoor; disappeared),Kang et al. (2010),"NA","Hong, 2012",In
Diptera,Cecidomyiidae,Mycophila speyeri,1999,Pal. Nea.,P* (indoor),Lee and Kim (2003),"NA","Hong, 2012",In
Diptera,Cecidomyiidae,Obolodiplosis robiniae,2002,Pal. Nea. [N. America],P*,Woo et al. (2003); NPQS (2010b),"NA","Hong, 2012",Out
Diptera,Cecidomyiidae,Thecodiplosis japonensis,1929,Pal [Japan],P,Takaki (1929); NPQS (2010b),"NA","Hong, 2012",Out
Diptera,Stratiomyidae,Hermetia illucens,1990,"Pal, Nea [N. America]",Non P,Kim (1997),"NA","Hong, 2012",Out
Diptera,Syrphidae,Merodon equestris,"NA","Pal, Nea [Mediterranean]",P,Lee (1996; Appendix I),"NA","Hong, 2012",Out
Diptera,Drosophilidae,Drosophila melanogaster,"NA",Cos,P hyg,Cross-check Paik (1981) and Kiritani (2002),"NA","Hong, 2012",Out
Diptera,Drosophilidae,Drosophila simulans,"NA",Cos,P hyg,Lee (1996; Appendix I),"NA","Hong, 2012",Out
Diptera,Agromyzidae,Liriomyza huidobrensis,2002,Cos [Neotropical],P*â€  (indoor),CAB International (2002),"NA","Hong, 2012",In
Diptera,Agromyzidae,Liriomyza trifolii,1994,"Pal, Ori, Eth, Nea, Net [N. America]",P* (indoor),Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",In
Diptera,Muscidae,Fannia canicularis,"NA",Cos,P hyg,Cross-check Paik (1981) and Kiritani (2002),"NA","Hong, 2012",Out
Diptera,Calliphoridae,Phormia regina,"NA","Pal, Nea",P hyg,Cross-check ESK/KSAE (1994) and Kiritani (2002),"NA","Hong, 2012",Out
Diptera,Hypodermatidae,Hypoderma bovis,"NA",Cos,Non P,Cross-check ESK/KSAE (1994) and Kiritani (2002),"NA","Hong, 2012",Out
Lepidoptera,Tortricidae,Grapholita molesta,1910s,"Pal, Aus, Nea",P,Lee (1996; Appendix I); Muramastsu (1919),"NA","Hong, 2012",Out
Lepidoptera,Tortricidae,Grapholita dimorpha,"NA",Pal,P*,Lee (1996; Appendix I),"NA","Hong, 2012",Out
Lepidoptera,Psychidae,Eumeta japonica,"NA",Ori,P,Cross-check Byun et al. (2009) and Kiritani (2002),"NA","Hong, 2012",Out
Lepidoptera,Tineidae,Nemapogon granellus,"NA",Cos,P,Cross-check Paik (1981) and Kiritani (2002),"NA","Hong, 2012",Out
Lepidoptera,Tineidae,Opogona sacchari,1999,Cos,P*â€  (indoor),NPQS (2010b),"NA","Hong, 2012",In
Lepidoptera,Tineidae,Tinea translucens,1960s,Cos,P,Cross-check Kim and Bae (2007) and Kiritani (2002),"NA","Hong, 2012",Out
Lepidoptera,Tineidae,Trichophaga tapetzella,"NA",Cos,P,Cross-check Byun et al. (2009) and Kiritani (2002),"NA","Hong, 2012",Out
Lepidoptera,Yponomeutidae,Yponomeuta malinellus,1930s,"Pal, Nea [Europe]",P,Cross-check Nakayama (1934a) and Kiritani (2002),"NA","Hong, 2012",Out
Lepidoptera,Gelechiidae,Phthorimaea operculella,1968,"Aus, Nea",P,Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",Out
Lepidoptera,Gelechiidae,Sitotroga cerealella,"NA",Cos [Europe],P,Lee (1996; Appendix I),"NA","Hong, 2012",Out
Lepidoptera,Pyralidae,Aglossa dimidiata,1930s,"Pal, Ori",P,Cross-check Koitahashi (1937) and Kiritani (2002),"NA","Hong, 2012",Out
Lepidoptera,Pyralidae,Cadra cautella,1920s,Cos,P (indoor),Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",In
Lepidoptera,Pyralidae,Ephestia elutella,"NA",Cos,P,Cross-check Paik (1982) and Kiritani (2002),"NA","Hong, 2012",Out
Lepidoptera,Pyralidae,Paralipsa gularis,"NA","Pal, Ori",P,Cross-check Paik (1982) and Kiritani (2002),"NA","Hong, 2012",Out
Lepidoptera,Pyralidae,Parapediasia teterrella,2003,Nea,P*,Sohn (2007),"NA","Hong, 2012",Out
Lepidoptera,Pyralidae,Plodia interpunctella,1910s,Cos [India],P,Cross-check Kazui (1919) and Kiritani (2002),"NA","Hong, 2012",Out
Lepidoptera,Pyralidae,Pyralis farinalis,1930s,Cos,P,Cross-check Nakayama (1934b) and Kiritani (2002),"NA","Hong, 2012",Out
Lepidoptera,Arctidae,Hyphantria cunea,1958,"Pal, Nea [USA]",P,Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",Out
Lepidoptera,Noctuidae,Autographa gamma,"NA",Pal [Europe],P*,Lee (1996; Appendix I),"NA","Hong, 2012",Out
Lepidoptera,Noctuidae,Peridroma saucia,1997,Cos,P*,NPQS (2010b),"NA","Hong, 2012",Out
Lepidoptera,Pieridae,Pieris rapae,"NA",Cos,P,Lee (1996; Appendix I),"NA","Hong, 2012",Out
Coleoptera,Nitidulidae,Aethina tumida,2016,Afr,"NA",Choi et al 2016,"NA","Hong, 2012",Out
Lepidoptera,Plutellidae,Plutella xylostella,"NA","NA","NA","NA","NA","Hong, 2012",Out
Coleoptera,Curculionidae,Hylurgus ligniperda,1999,NA,NA,NA,NA,"Park, 2017",NA
Coleoptera,Curculionidae,Sitophilus oryzae,2015,NA,NA,NA,NA,"Hong, 2018",NA
Hemiptera,Tingidae,Corythucha marmorata,2011,NA,NA,NA,NA,"Yoon, 2013",NA
Hemiptera,Pseudococcidae,Planococcus minor,2010,NA,NA,NA,NA,"Lee, 2016",NA
Coleoptera,Dermestidae,Reesa vespulae,2014,NA,NA,NA,NA,"Hong, 2014",NA
Hemiptera,Ricaniidae,Pochazia shantungensis,2012,NA,NA,NA,NA,"Lee, 2016",NA
Coleoptera,Chrysomelidae,Sagra femorata,2011,NA,NA,NA,NA,"Lee, 2017",NA
Hymenoptera,Vespidae,Vespa velutina nigrithorax,2006,NA,NA,NA,NA,"Lee, 2018",NA
Diptera,Cecidomyiidae,Dasineura oxycoccana,2010,NA,NA,NA,NA,"Lee, 2019",NA
Diptera,Agromyzidae,Liriomyza sativae,2014,NA,NA,NA,NA,"Lee, 2020",NA
